County #,County Name,District #,District Name,2004-2005 ADA,2005-2006 ADA,2006-2007 ADA,2007-2008 ADA,2008-2009 ADA,2009-2010 ADA,2010-2011 ADA,2011-2012 ADA,2012-2013 ADA,2013-2014 ADA,2014-2015 ADA,2015-2016 ADA,2016-2017 ADA,2017-2018 ADA,2018-2019 ADA,2019-2020 ADA,2020-2021 ADA
1,ANDERSON COUNTY,1902,CAYUGA ISD,552.28,545.15,544.21,552.32,568.05,591.52,576.62,568.31,560.13,536.91,558.01,550.33,554.81,548.23,538.51,523.14,515.33
1,ANDERSON COUNTY,1903,ELKHART ISD,1162.82,1177.65,1188.11,1237.25,1246.39,1240.7,1226.52,1179.62,1134.77,1123.37,1137.8,1158.02,1166.67,1132.98,1140.62,1132.69,1068.994
1,ANDERSON COUNTY,1904,FRANKSTON ISD,749.5,756.27,744.33,741.36,720.5,707.63,731.42,697.35,713.24,725.84,748.14,780.15,797.27,797.58,747.92,727.93,688.153
1,ANDERSON COUNTY,1906,NECHES ISD,299.04,315.9,335.74,346.37,372.67,360.55,357.14,391.03,396.75,376.78,358.11,358.75,350.91,327.04,333.22,308.66,311.103
1,ANDERSON COUNTY,1907,PALESTINE ISD,3112.47,3175.54,3143.59,3039.31,3022.89,2999.55,3000.82,2979.49,3052.14,3018.45,3110.65,3134.61,3185.31,3138.39,3147.61,3008.59,3076.129
1,ANDERSON COUNTY,1908,WESTWOOD ISD,1642.23,1694.94,1638.21,1612.93,1613.03,1583.49,1616.27,1614.83,1507.84,1503.28,1510.4,1499.75,1489.36,1451.23,1409.65,1306.54,1216.925
1,ANDERSON COUNTY,1909,SLOCUM ISD,351.16,365.23,373.39,356.97,360.61,386.35,376.93,396.13,400.78,371.52,373.99,378.51,379.87,391.54,373.24,332.96,336.703
2,ANDREWS COUNTY,2901,ANDREWS ISD,2662.37,2698.61,2764.91,2799.61,2851.75,2881.89,2976.63,3157.86,3366.74,3553.75,3753.99,3749.55,3757.7,3840.23,4085.36,4064.98,4068.126
3,ANGELINA COUNTY,3801,PINEYWOODS COMMUNITY ACADEMY,179.47,204.45,246.23,291.18,276.2,314.86,427.4,503.8,577.29,654.04,762.17,899.92,964.19,958.81,973.41,965.57,925.483
3,ANGELINA COUNTY,3902,HUDSON ISD,2218.31,2284.54,2292.77,2354.86,2365.34,2469.58,2487.89,2554.93,2581.78,2609.92,2649.56,2619.91,2678.31,2731.19,2776.51,2711.96,2635.139
3,ANGELINA COUNTY,3903,LUFKIN ISD,7767.23,7859.28,7801.63,7758.69,7803.52,7805.18,7836.71,7801.67,7761.79,7632.79,7612.69,7569.03,7462.46,7283.02,7117.34,6886.82,6622.392
3,ANGELINA COUNTY,3904,HUNTINGTON ISD,1543.95,1563.47,1587.84,1598.47,1641.88,1592.24,1611.63,1647.25,1614.85,1635.71,1639.88,1589.31,1615.78,1581.08,1546.48,1472.72,1465.298
3,ANGELINA COUNTY,3905,DIBOLL ISD,1781.03,1724.21,1726.83,1677.78,1686.91,1759.23,1784.57,1759.3,1794.13,1780.25,1744.78,1700.96,1711.6,1689.2,1676.14,1508.12,1553.301
3,ANGELINA COUNTY,3906,ZAVALLA ISD,423.83,435.73,438.21,439.68,444.43,431.35,427.24,417.36,399.08,384.0,382.52,373.26,345.29,332.95,319.6,275.18,268.599
3,ANGELINA COUNTY,3907,CENTRAL ISD,1566.33,1560.32,1528.7,1481.26,1461.3,1434.36,1447.3,1443.72,1452.58,1520.35,1476.21,1485.96,1429.07,1397.36,1354.4,1462.27,1331.286
4,ARANSAS COUNTY,4901,ARANSAS COUNTY ISD,3097.7,3079.01,3014.32,2920.66,2840.06,2916.07,2847.7,2919.41,2940.2,2998.33,3064.27,3160.79,3148.96,3192.18,2641.35,2680.59,2681.159
5,ARCHER COUNTY,5901,ARCHER CITY ISD,511.3,494.99,458.82,436.64,428.54,452.2,471.82,474.27,463.11,456.89,440.26,423.94,452.84,440.18,451.99,455.72,459.661
5,ARCHER COUNTY,5902,HOLLIDAY ISD,827.89,801.48,801.27,817.37,817.51,828.73,858.44,832.42,840.96,854.93,870.22,916.99,922.08,965.58,1009.72,1004.45,1026.303
5,ARCHER COUNTY,5903,MEGARGEL ISD,65.32,63.24,,,,,,,,,,,,,,,
5,ARCHER COUNTY,5904,WINDTHORST ISD,485.15,496.24,502.06,491.55,484.17,468.43,447.85,449.63,455.14,444.18,431.73,420.9,413.24,400.73,378.1,366.25,398.288
6,ARMSTRONG COUNTY,6902,CLAUDE ISD,364.24,353.32,339.72,343.28,333.62,310.56,334.95,351.42,341.02,349.71,336.25,326.75,309.71,337.65,328.84,301.86,277.976
7,ATASCOSA COUNTY,7901,CHARLOTTE ISD,488.05,482.49,493.35,478.56,490.78,501.66,481.7,483.55,463.65,485.99,477.27,460.65,460.8,448.46,429.23,408.06,387.745
7,ATASCOSA COUNTY,7902,JOURDANTON ISD,1198.68,1205.81,1180.69,1193.13,1204.76,1213.77,1272.24,1360.82,1401.35,1476.86,1514.92,1517.97,1491.9,1509.53,1499.13,1466.85,1424.531
7,ATASCOSA COUNTY,7904,LYTLE ISD,1414.89,1443.46,1487.04,1527.31,1594.56,1575.97,1612.81,1592.79,1607.65,1639.99,1576.41,1552.66,1486.41,1552.08,1579.66,1586.42,1537.466
7,ATASCOSA COUNTY,7905,PLEASANTON ISD,3241.29,3235.05,3196.74,3248.14,3209.75,3166.39,3203.47,3186.77,3222.73,3234.44,3286.49,3219.52,3230.6,3267.27,3251.46,3155.76,3043.242
7,ATASCOSA COUNTY,7906,POTEET ISD,1590.88,1577.98,1582.97,1589.22,1595.28,1615.38,1611.87,1624.16,1613.59,1608.83,1583.9,1640.93,1598.16,1565.87,1538.21,1438.44,1392.744
