County,County Name,District,District Name, 2004-2005 ADA, 2005-2006 ADA, 2006-2007 ADA,2007-2008 ADA,2008-2009 ADA, 2009-2010 ADA,2010-2011 ADA, 2011-2012 ADA, 2012-2013 ADA, 2013-2014 ADA, 2014-2015 ADA, 2015-2016 ADA, 2016-2017 ADA, 2017-2018 ADA, 2018-2019 ADA, 2019-2020 ADA, 2020-2021 ADA
001,ANDERSON COUNTY,001902,CAYUGA ISD,552.28,545.15,544.21,552.32,568.05,591.52,576.62,568.31,560.13,536.91,558.01,550.33,554.81,548.23,538.51,523.14,515.33
001,ANDERSON COUNTY,001903,ELKHART ISD,"1,162.82","1,177.65","1,188.11","1,237.25","1,246.39","1,240.70","1,226.52","1,179.62","1,134.77","1,123.37","1,137.80","1,158.02","1,166.67","1,132.98","1,140.62","1,132.69",1068.994
001,ANDERSON COUNTY,001904,FRANKSTON ISD,749.50,756.27,744.33,741.36,720.50,707.63,731.42,697.35,713.24,725.84,748.14,780.15,797.27,797.58,747.92,727.93,688.153
001,ANDERSON COUNTY,001906,NECHES ISD,299.04,315.90,335.74,346.37,372.67,360.55,357.14,391.03,396.75,376.78,358.11,358.75,350.91,327.04,333.22,308.66,311.103
001,ANDERSON COUNTY,001907,PALESTINE ISD,"3,112.47","3,175.54","3,143.59","3,039.31","3,022.89","2,999.55","3,000.82","2,979.49","3,052.14","3,018.45","3,110.65","3,134.61","3,185.31","3,138.39","3,147.61","3,008.59",3076.129
001,ANDERSON COUNTY,001908,WESTWOOD ISD,"1,642.23","1,694.94","1,638.21","1,612.93","1,613.03","1,583.49","1,616.27","1,614.83","1,507.84","1,503.28","1,510.40","1,499.75","1,489.36","1,451.23","1,409.65","1,306.54",1216.925
001,ANDERSON COUNTY,001909,SLOCUM ISD,351.16,365.23,373.39,356.97,360.61,386.35,376.93,396.13,400.78,371.52,373.99,378.51,379.87,391.54,373.24,332.96,336.703
002,ANDREWS COUNTY,002901,ANDREWS ISD,"2,662.37","2,698.61","2,764.91","2,799.61","2,851.75","2,881.89","2,976.63","3,157.86","3,366.74","3,553.75","3,753.99","3,749.55","3,757.70","3,840.23","4,085.36","4,064.98",4068.126
003,ANGELINA COUNTY,003801,PINEYWOODS COMMUNITY ACADEMY,179.47,204.45,246.23,291.18,276.20,314.86,427.40,503.80,577.29,654.04,762.17,899.92,964.19,958.81,973.41,965.57,925.483
003,ANGELINA COUNTY,003902,HUDSON ISD,"2,218.31","2,284.54","2,292.77","2,354.86","2,365.34","2,469.58","2,487.89","2,554.93","2,581.78","2,609.92","2,649.56","2,619.91","2,678.31","2,731.19","2,776.51","2,711.96",2635.139
003,ANGELINA COUNTY,003903,LUFKIN ISD,"7,767.23","7,859.28","7,801.63","7,758.69","7,803.52","7,805.18","7,836.71","7,801.67","7,761.79","7,632.79","7,612.69","7,569.03","7,462.46","7,283.02","7,117.34","6,886.82",6622.392
003,ANGELINA COUNTY,003904,HUNTINGTON ISD,"1,543.95","1,563.47","1,587.84","1,598.47","1,641.88","1,592.24","1,611.63","1,647.25","1,614.85","1,635.71","1,639.88","1,589.31","1,615.78","1,581.08","1,546.48","1,472.72",1465.298
003,ANGELINA COUNTY,003905,DIBOLL ISD,"1,781.03","1,724.21","1,726.83","1,677.78","1,686.91","1,759.23","1,784.57","1,759.30","1,794.13","1,780.25","1,744.78","1,700.96","1,711.60","1,689.20","1,676.14","1,508.12",1553.301
003,ANGELINA COUNTY,003906,ZAVALLA ISD,423.83,435.73,438.21,439.68,444.43,431.35,427.24,417.36,399.08,384.00,382.52,373.26,345.29,332.95,319.60,275.18,268.599
003,ANGELINA COUNTY,003907,CENTRAL ISD,"1,566.33","1,560.32","1,528.70","1,481.26","1,461.30","1,434.36","1,447.30","1,443.72","1,452.58","1,520.35","1,476.21","1,485.96","1,429.07","1,397.36","1,354.40","1,462.27",1331.286
004,ARANSAS COUNTY,004901,ARANSAS COUNTY ISD,"3,097.70","3,079.01","3,014.32","2,920.66","2,840.06","2,916.07","2,847.70","2,919.41","2,940.20","2,998.33","3,064.27","3,160.79","3,148.96","3,192.18","2,641.35","2,680.59",2681.159
005,ARCHER COUNTY,005901,ARCHER CITY ISD,511.30,494.99,458.82,436.64,428.54,452.20,471.82,474.27,463.11,456.89,440.26,423.94,452.84,440.18,451.99,455.72,459.661
005,ARCHER COUNTY,005902,HOLLIDAY ISD,827.89,801.48,801.27,817.37,817.51,828.73,858.44,832.42,840.96,854.93,870.22,916.99,922.08,965.58,"1,009.72","1,004.45",1026.303
005,ARCHER COUNTY,005903,MEGARGEL ISD,65.32,63.24,,,,,,,,,,,,,,,
005,ARCHER COUNTY,005904,WINDTHORST ISD,485.15,496.24,502.06,491.55,484.17,468.43,447.85,449.63,455.14,444.18,431.73,420.90,413.24,400.73,378.10,366.25,398.288
006,ARMSTRONG COUNTY,006902,CLAUDE ISD,364.24,353.32,339.72,343.28,333.62,310.56,334.95,351.42,341.02,349.71,336.25,326.75,309.71,337.65,328.84,301.86,277.976
007,ATASCOSA COUNTY,007901,CHARLOTTE ISD,488.05,482.49,493.35,478.56,490.78,501.66,481.70,483.55,463.65,485.99,477.27,460.65,460.80,448.46,429.23,408.06,387.745
007,ATASCOSA COUNTY,007902,JOURDANTON ISD,"1,198.68","1,205.81","1,180.69","1,193.13","1,204.76","1,213.77","1,272.24","1,360.82","1,401.35","1,476.86","1,514.92","1,517.97","1,491.90","1,509.53","1,499.13","1,466.85",1424.531
007,ATASCOSA COUNTY,007904,LYTLE ISD,"1,414.89","1,443.46","1,487.04","1,527.31","1,594.56","1,575.97","1,612.81","1,592.79","1,607.65","1,639.99","1,576.41","1,552.66","1,486.41","1,552.08","1,579.66","1,586.42",1537.466
007,ATASCOSA COUNTY,007905,PLEASANTON ISD,"3,241.29","3,235.05","3,196.74","3,248.14","3,209.75","3,166.39","3,203.47","3,186.77","3,222.73","3,234.44","3,286.49","3,219.52","3,230.60","3,267.27","3,251.46","3,155.76",3043.242
007,ATASCOSA COUNTY,007906,POTEET ISD,"1,590.88","1,577.98","1,582.97","1,589.22","1,595.28","1,615.38","1,611.87","1,624.16","1,613.59","1,608.83","1,583.90","1,640.93","1,598.16","1,565.87","1,538.21","1,438.44",1392.744
008,AUSTIN COUNTY,008901,BELLVILLE ISD,"2,075.85","2,068.51","2,057.72","2,069.59","2,031.06","2,031.23","2,022.28","2,025.34","1,984.15","2,008.45","2,045.03","2,105.28","2,133.55","2,140.90","2,105.32","2,032.60",2057.614
008,AUSTIN COUNTY,008902,SEALY ISD,"2,352.16","2,433.63","2,454.75","2,439.26","2,475.34","2,457.87","2,456.37","2,498.33","2,521.81","2,591.27","2,617.94","2,666.21","2,636.03","2,629.68","2,583.57","2,564.90",2582.362
008,AUSTIN COUNTY,008903,BRAZOS ISD,783.19,804.75,779.39,793.82,771.48,774.60,785.87,795.29,779.59,781.51,791.93,764.37,751.68,760.80,782.57,777.49,766.809
009,BAILEY COUNTY,009901,MULESHOE ISD,"1,411.96","1,389.31","1,385.67","1,379.93","1,349.96","1,330.83","1,375.85","1,406.63","1,380.15","1,348.60","1,333.15","1,348.72","1,356.53","1,341.46","1,306.43","1,216.65",1204.291
010,BANDERA COUNTY,010901,MEDINA ISD,340.34,329.49,329.03,334.32,329.31,318.61,285.42,273.50,249.44,246.57,246.62,256.34,263.88,277.42,275.07,256.00,233.631
010,BANDERA COUNTY,010902,BANDERA ISD,"2,435.58","2,372.52","2,348.12","2,332.08","2,297.85","2,316.53","2,259.76","2,228.97","2,213.68","2,159.57","2,071.11","2,043.03","2,079.01","2,073.73","2,026.28","2,016.41",2057.812
011,BASTROP COUNTY,011901,BASTROP ISD,"7,189.50","7,381.19","7,530.39","7,832.42","8,030.40","8,174.83","8,406.85","8,453.76","8,627.34","8,848.36","9,214.56","9,529.25","9,784.12","10,052.34","10,183.88","10,153.25",10257.55
011,BASTROP COUNTY,011902,ELGIN ISD,"2,958.15","3,085.88","3,286.78","3,423.95","3,558.84","3,651.98","3,637.87","3,730.10","3,782.40","3,863.77","3,936.87","3,968.26","3,949.71","3,977.38","4,062.39","4,043.21",4235.64
011,BASTROP COUNTY,011904,SMITHVILLE ISD,"1,712.58","1,709.91","1,644.08","1,573.08","1,594.05","1,588.17","1,616.67","1,611.92","1,658.56","1,664.67","1,659.73","1,656.25","1,630.25","1,661.55","1,671.00","1,674.37",1625.49
011,BASTROP COUNTY,011905,MCDADE ISD,225.70,218.50,192.15,166.98,176.32,170.59,162.78,177.13,200.20,189.08,191.89,205.54,291.14,290.97,345.02,331.88,323.105
012,BAYLOR COUNTY,012901,SEYMOUR ISD,595.12,579.64,586.97,561.14,529.62,544.17,546.40,533.96,544.71,530.96,559.08,561.50,554.06,544.20,547.72,536.43,574.817
013,BEE COUNTY,013801,ST MARY'S ACADEMY CHARTER SCHOOL,215.47,215.36,266.61,288.10,308.45,318.74,342.52,382.84,403.73,418.57,422.46,419.56,430.58,429.43,407.24,384.48,365.196
013,BEE COUNTY,013901,BEEVILLE ISD,"3,367.57","3,365.33","3,286.50","3,254.34","3,264.01","3,227.69","3,218.92","3,156.30","3,106.51","3,051.94","3,088.53","3,082.29","3,022.42","2,978.36","2,967.77","2,755.96",2723.228
013,BEE COUNTY,013902,PAWNEE ISD,134.39,130.10,127.73,122.11,116.97,125.37,146.15,141.15,142.58,142.92,149.11,207.11,186.02,187.49,248.30,315.38,293.043
013,BEE COUNTY,013903,PETTUS ISD,361.56,350.03,368.43,375.10,364.55,383.01,381.73,389.99,383.63,403.05,398.28,396.65,377.33,390.32,384.69,333.33,332.092
013,BEE COUNTY,013905,SKIDMORE-TYNAN ISD,668.53,711.03,728.46,706.08,693.34,769.37,771.13,775.66,766.01,754.91,764.86,798.37,781.32,784.57,780.78,765.62,734.673
014,BELL COUNTY,014801,RICHARD MILBURN ALTER HIGH SCHOOL,127.43,151.79,145.24,141.74,155.41,143.51,142.06,160.92,133.55,118.22,"1,446.01","1,681.12","1,871.13","1,727.07","1,568.86","1,504.60",1226.53
014,BELL COUNTY,014802,TRANSFORMATIVE CHARTER ACADEMY,71.58,68.11,76.43,56.22,65.54,70.91,62.15,54.32,67.13,82.01,52.76,,,,,,
014,BELL COUNTY,014803,PRIORITY CHARTER SCHOOLS,112.13,89.67,77.21,113.82,150.03,141.78,148.33,227.51,381.76,772.39,840.46,870.33,727.64,805.08,693.80,689.52,752.274
014,BELL COUNTY,014804,ORENDA CHARTER SCHOOL,65.33,66.78,73.24,72.99,102.78,207.35,379.67,787.11,971.48,"1,152.74","1,263.74","1,321.94","1,417.61","1,570.16","1,657.92","1,717.23",1793.99
014,BELL COUNTY,014901,ACADEMY ISD,870.55,903.83,944.71,982.93,"1,039.20","1,016.83","1,051.62","1,078.16","1,120.03","1,209.02","1,282.52","1,346.34","1,433.82","1,468.97","1,559.88","1,618.18",1675.565
014,BELL COUNTY,014902,BARTLETT ISD,416.99,393.71,372.24,354.38,364.23,354.07,342.85,362.66,384.58,360.62,350.71,339.92,343.51,316.14,323.52,334.24,353.022
014,BELL COUNTY,014903,BELTON ISD,"6,726.69","7,053.47","7,378.38","7,720.74","7,957.49","8,288.03","8,658.24","8,914.78","9,267.97","9,672.65","9,858.17","10,158.07","10,361.69","10,762.23","11,062.87","11,133.21",11823.252
014,BELL COUNTY,014905,HOLLAND ISD,488.42,497.80,529.46,534.33,519.30,510.98,543.78,576.83,584.45,601.43,609.29,625.86,653.56,626.41,608.51,571.12,621.999
014,BELL COUNTY,014906,KILLEEN ISD,"30,984.20","31,829.58","33,595.30","34,771.57","35,248.43","35,967.16","36,540.55","37,119.92","37,400.79","37,645.49","38,386.94","39,067.86","39,574.04","39,892.02","40,540.11","39,316.75",38795.672
014,BELL COUNTY,014907,ROGERS ISD,817.06,791.00,787.94,797.02,794.00,783.52,841.06,812.66,799.44,813.99,820.12,840.29,821.84,839.76,811.81,810.96,830.156
014,BELL COUNTY,014908,SALADO ISD,"1,112.74","1,163.69","1,171.25","1,172.45","1,243.03","1,263.07","1,276.58","1,315.20","1,300.52","1,391.48","1,469.03","1,574.85","1,673.11","1,749.45","1,843.41","1,923.07",2029.835
014,BELL COUNTY,014909,TEMPLE ISD,"7,489.22","7,586.19","7,637.96","7,702.31","7,678.10","7,768.05","7,901.07","7,898.98","7,887.55","7,790.75","7,809.75","7,794.28","7,790.36","7,790.48","7,877.31","7,491.35",7714.053
014,BELL COUNTY,014910,TROY ISD,"1,166.44","1,166.71","1,202.09","1,205.19","1,218.36","1,200.40","1,215.18","1,270.81","1,299.10","1,339.79","1,381.92","1,392.62","1,403.31","1,419.98","1,448.90","1,416.11",1461.735
015,BEXAR COUNTY,015801,POR VIDA ACADEMY,302.47,283.16,256.43,283.73,275.33,255.23,248.32,243.43,223.87,216.02,265.07,240.17,207.65,195.87,199.82,171.24,126.907
015,BEXAR COUNTY,015802,GEORGE GERVIN ACADEMY,299.67,325.77,407.47,430.27,436.48,562.54,836.14,819.34,816.00,852.66,736.44,859.59,960.62,993.52,804.81,722.11,708.346
015,BEXAR COUNTY,015803,HIGGS CARTER KING GIFTED & TALENTE,164.92,219.68,246.59,340.06,394.03,412.83,447.43,519.53,472.58,408.26,378.03,,,,,,
015,BEXAR COUNTY,015805,NEW FRONTIERS PUBLIC SCHOOLS INC,588.18,579.49,592.63,552.81,568.31,572.47,584.10,583.06,593.58,589.14,641.03,675.07,696.96,657.56,573.60,495.84,440.429
015,BEXAR COUNTY,015806,LEGACY TRADITIONAL SCHOOLS - TEXAS,"1,389.98","1,629.43","2,156.25","2,465.92","2,181.03","1,722.09","1,448.74","1,439.17","1,340.25","1,197.50",991.54,929.11,723.69,588.87,556.55,372.02,298.043
015,BEXAR COUNTY,015807,SOUTHWEST PREPARATORY SCHOOL,839.76,926.11,867.66,811.22,627.55,649.28,562.89,381.07,425.06,563.60,766.85,759.76,796.86,759.60,857.90,802.40,740.217
015,BEXAR COUNTY,015808,INSPIRE ACADEMIES,449.76,254.68,245.52,240.44,353.38,348.22,557.28,511.64,545.25,495.52,760.44,768.71,797.23,821.47,806.98,740.95,550.714
015,BEXAR COUNTY,015809,BEXAR COUNTY ACADEMY,360.43,366.79,341.14,359.20,343.48,345.92,380.62,374.13,359.85,403.32,352.76,358.36,315.55,301.07,270.78,263.13,220.058
015,BEXAR COUNTY,015810,CAREER PLUS LEARNING ACADEMY,43.13,0.17,0.00,0.00,,,0.00,,,,,,,,,,
015,BEXAR COUNTY,015811,LA ESCUELA DE LAS AMERICAS,98.68,121.53,102.91,106.66,124.64,64.44,0.00,,,,,,,,,,
015,BEXAR COUNTY,015812,GEORGE I SANCHEZ CHARTER HS SAN AN,124.67,137.40,101.49,106.71,130.14,124.72,63.45,,,,,,,,,,
015,BEXAR COUNTY,015813,GUARDIAN ANGEL PERFORMANCE ARTS AC,10.43,15.09,7.01,5.95,11.39,10.53,0.00,,,,,,,,,,
015,BEXAR COUNTY,015814,POSITIVE SOLUTIONS CHARTER SCHOOL,232.27,161.01,109.96,125.47,131.27,143.06,114.57,119.55,121.29,127.33,117.92,118.86,103.80,82.04,102.14,103.46,100.471
015,BEXAR COUNTY,015815,HERITAGE ACADEMY,359.79,345.81,422.10,554.41,693.77,697.71,762.72,653.89,436.51,466.33,490.26,421.75,428.92,466.19,585.30,596.33,631.422
015,BEXAR COUNTY,015816,ACADEMY OF CAREERS AND TECHNOLOGIE,145.20,132.63,106.70,150.86,153.71,176.18,127.85,183.88,185.22,178.27,188.77,179.52,,,,,
015,BEXAR COUNTY,015817,SAN ANTONIO CAN HIGH SCHOOL,319.23,320.94,345.38,337.55,328.04,298.24,298.08,336.52,364.40,,,,,,,,
015,BEXAR COUNTY,015818,EAGLE ACADEMY OF SAN ANTONIO,118.68,112.87,,,,,,,,,,,,,,,
015,BEXAR COUNTY,015819,SHEKINAH RADIANCE ACADEMY,339.65,693.07,783.88,793.04,806.13,"1,003.14",968.75,796.87,780.94,667.60,594.79,388.05,,,,,
015,BEXAR COUNTY,015820,SAN ANTONIO SCHOOL FOR INQUIRY & C,176.82,187.38,227.55,261.79,246.11,335.49,356.56,381.36,400.43,376.87,402.03,395.47,458.84,,,,
015,BEXAR COUNTY,015822,JUBILEE ACADEMIES,408.21,409.32,436.77,500.26,608.42,636.29,854.96,"1,691.72","2,170.14","2,677.88","3,867.83","4,261.60","4,451.47","5,241.73","5,469.13","5,788.81",5707.898
015,BEXAR COUNTY,015823,SAN ANTONIO TECHNOLOGY ACADEMY,61.46,98.62,70.31,78.37,68.41,78.32,68.88,68.72,63.35,46.67,69.05,,,,,,
015,BEXAR COUNTY,015824,SAN ANTONIO PREPARATORY ACADEMY,137.96,177.70,217.00,236.49,691.46,678.21,627.71,0.00,,,,,,,,,
015,BEXAR COUNTY,015825,LIGHTHOUSE PUBLIC SCHOOLS,170.93,141.39,59.38,109.21,147.47,186.11,190.23,192.99,203.09,214.36,230.82,251.50,260.46,271.26,293.13,271.58,299.503
015,BEXAR COUNTY,015826,KIPP SAN ANTONIO,151.64,225.60,300.71,329.50,346.48,469.03,699.10,842.27,"1,156.28","1,421.72","1,831.56","2,320.53","2,790.18","3,083.71",,,
015,BEXAR COUNTY,015827,SCHOOL OF SCIENCE AND TECHNOLOGY,,203.75,310.26,379.15,370.17,621.89,707.79,807.63,794.56,814.48,806.01,827.67,"1,186.35","1,496.00","1,708.17","2,015.19",2999.355
015,BEXAR COUNTY,015828,HARMONY PUBLIC SCHOOLS - SOUTH TEX,,,276.16,352.89,539.28,702.04,863.71,"1,063.96","2,024.64","2,152.95","2,997.49","3,350.78","3,476.52","4,068.80","4,226.06","3,980.44",4215.822
015,BEXAR COUNTY,015829,GENERAL ALFRED A VALENZUELA INT LE,,,26.62,0.00,,,0.00,,,,,,,,,,
015,BEXAR COUNTY,015830,BROOKS ACADEMIES OF TEXAS,,,225.66,419.18,560.90,656.10,669.66,958.81,"1,141.99","1,433.27","1,651.55","1,673.29","1,858.60","2,655.20","3,018.06","2,957.83",2847.986
015,BEXAR COUNTY,015831,SCHOOL OF SCIENCE AND TECHNOLOGY D,,,,,256.80,306.69,344.29,377.33,857.63,938.67,"1,030.77","1,108.59","1,452.46","1,724.15","2,172.54","2,992.52",4409.121
015,BEXAR COUNTY,015832,CITY CENTER HEALTH CAREERS,,,,,,65.13,116.15,122.36,118.99,135.53,97.05,,,,,,
015,BEXAR COUNTY,015833,HENRY FORD ACADEMY ALAMEDA SCHOOL,,,,,,69.66,135.00,149.13,184.09,156.15,135.54,114.04,99.91,124.17,118.38,102.74,86.968
015,BEXAR COUNTY,015834,BASIS TEXAS,,,,,,,,,,468.20,"1,006.10","1,246.51","1,318.67","2,314.15","2,464.26","2,445.00",2899.816
015,BEXAR COUNTY,015835,GREAT HEARTS TEXAS,,,,,,,,,,,551.25,"1,935.83","2,220.42","2,643.79","3,437.54","4,583.64",6428.828
015,BEXAR COUNTY,015836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,,,,,,,,,,189.72,244.78,267.44,283.86,306.92,325.02,408.85,466.205
015,BEXAR COUNTY,015837,CARPE DIEM SCHOOLS,,,,,,,,,,,,209.74,237.80,,,,
015,BEXAR COUNTY,015838,COMPASS ROSE PUBLIC SCHOOLS,,,,,,,,,,,,,,89.99,175.80,316.62,1036.109
015,BEXAR COUNTY,015839,PROMESA ACADEMY CHARTER SCHOOL,,,,,,,,,,,,,,,,,171.395
015,BEXAR COUNTY,015840,SAN ANTONIO PREPARATORY SCHOOLS,,,,,,,,,,,,,,,,,189.387
015,BEXAR COUNTY,015841,THE GATHERING PLACE,,,,,,,,,,,,,,,,,325.327
