,County #,Confirmed Deaths 09/28/20,Confirmed Deaths 10/30/20,Confirmed Deaths 01/29/21,Confirmed Cases 09/28/20,Confirmed Cases 10/30/20,Confirmed Cases 01/29/21,County Population
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,48001.0,37.0,44.0,99.0,2840.0,2970.0,5804.0,57735.0
2,48003.0,10.0,11.0,45.0,425.0,667.0,1649.0,18705.0
3,48005.0,86.0,94.0,236.0,2144.0,2317.0,7121.0,86715.0
4,48007.0,18.0,18.0,33.0,323.0,351.0,979.0,23510.0
5,48009.0,1.0,1.0,11.0,87.0,161.0,745.0,8553.0
6,48011.0,1.0,1.0,6.0,13.0,27.0,139.0,1887.0
7,48013.0,34.0,38.0,125.0,1144.0,1292.0,4395.0,51153.0
8,48015.0,10.0,10.0,27.0,499.0,516.0,1551.0,30032.0
9,48017.0,5.0,5.0,16.0,219.0,311.0,762.0,7000.0
10,48019.0,8.0,9.0,23.0,157.0,188.0,966.0,23112.0
11,48021.0,31.0,35.0,70.0,1818.0,2014.0,4937.0,88723.0
12,48023.0,1.0,3.0,12.0,19.0,44.0,284.0,3509.0
13,48025.0,37.0,40.0,59.0,1820.0,1870.0,3221.0,32565.0
14,48027.0,92.0,104.0,318.0,5473.0,6534.0,18154.0,362924.0
15,48029.0,1376.0,1467.0,2774.0,46829.0,53208.0,166022.0,2003554.0
16,48031.0,5.0,6.0,16.0,144.0,162.0,362.0,11931.0
17,48033.0,0.0,0.0,1.0,1.0,2.0,17.0,654.0
18,48035.0,8.0,14.0,28.0,324.0,414.0,1037.0,18685.0
19,48037.0,61.0,95.0,168.0,1377.0,1997.0,5754.0,93245.0
20,48039.0,178.0,191.0,341.0,11395.0,12436.0,28149.0,374264.0
21,48041.0,67.0,86.0,199.0,6332.0,7626.0,18374.0,229211.0
22,48043.0,5.0,5.0,12.0,218.0,250.0,827.0,9203.0
23,48045.0,1.0,1.0,4.0,12.0,24.0,120.0,1546.0
24,48047.0,26.0,26.0,31.0,317.0,361.0,714.0,7093.0
25,48049.0,26.0,29.0,99.0,570.0,698.0,3764.0,37864.0
26,48051.0,6.0,6.0,30.0,339.0,475.0,1176.0,18443.0
27,48053.0,12.0,15.0,50.0,729.0,1085.0,2345.0,48155.0
28,48055.0,36.0,39.0,70.0,1523.0,1721.0,2891.0,43664.0
