District Enrollment 01/29/21,Approx. District On-Campus Enrollment 01/29/21,Cumulative Student Cases 08/01/21,Cumulative Staff Cases 08/01/21,% District On-Campus 01/29/21,% Students with COVID 08/01/21,Cumulative Student Cases 07/25/21,Cumulative Staff Cases 07/25/21,% Students with COVID 07/25/21,Cumulative Student Cases 07/18/21,Cumulative Staff Cases 07/18/21,% Students with COVID 07/18/21,Cumulative Student Cases 07/11/21,Cumulative Staff Cases 07/11/21,% Students with COVID 07/11/21,Cumulative Student Cases 07/04/21,Cumulative Staff Cases 07/04/21,% Students with COVID 07/04/21,Cumulative Student Cases 06/27/21,Cumulative Staff Cases 06/27/21,% Students with COVID 06/27/21,Cumulative Student Cases 06/20/21,Cumulative Staff Cases 06/20/21,% Students with COVID 06/20/21,Cumulative Student Cases 06/13/21,Cumulative Staff Cases 06/13/21,% Students with COVID 06/13/21,Cumulative Student Cases 06/06/21,Cumulative Staff Cases 06/06/21,% Students with COVID 06/06/21,Cumulative Student Cases 05/30/21,Cumulative Staff Cases 05/30/21,% Students with COVID 05/30/21,Cumulative Student Cases 05/23/21,Cumulative Staff Cases 05/23/21,% Students with COVID 05/23/21,Cumulative Student Cases 05/16/21,Cumulative Staff Cases 05/16/21,% Students with COVID 05/16/21,Cumulative Student Cases 05/09/21,Cumulative Staff Cases 05/09/21,% Students with COVID 05/09/21,Cumulative Student Cases 05/02/21,Cumulative Staff Cases 05/02/21,% Students with COVID 05/02/21,Cumulative Student Cases 04/25/21,Cumulative Staff Cases 04/25/21,% Students with COVID 04/25/21,Cumulative Student Cases 04/18/21,Cumulative Staff Cases 04/18/21,% Students with COVID 04/18/21,Cumulative Student Cases 04/11/21,Cumulative Staff Cases 04/11/21,% Students with COVID 04/11/21,Cumulative Student Cases 04/04/21,Cumulative Staff Cases 04/04/21,% Students with COVID 04/04/21,Cumulative Student Cases 03/28/21,Cumulative Staff Cases 03/28/21,% Students with COVID 03/28/21,Cumulative Student Cases 03/21/21,Cumulative Staff Cases 03/21/21,% Students with COVID 03/21/21,Cumulative Student Cases 03/14/21,Cumulative Staff Cases 03/14/21,% Students with COVID 03/14/21,Cumulative Student Cases 03/07/21,Cumulative Staff Cases 03/07/21,% Students with COVID 03/07/21,Cumulative Student Cases 02/28/21,Cumulative Staff Cases 02/28/21,% Students with COVID 02/28/21,District Enrollment 10/30/20,Approx. District On-Campus Enrollment 10/30/20,Cumulative Student Cases 02/21/21,Cumulative Staff Cases 02/21/21,% District On-Campus 10/30/20,% Students with COVID 02/21/21,Cumulative Student Cases 02/14/21,Cumulative Staff Cases 02/14/21,% Students with COVID 02/14/21,Cumulative Student Cases 02/07/21,Cumulative Staff Cases 02/07/21,% Students with COVID 02/07/21,Cumulative Student Cases 01/31/21,Cumulative Staff Cases 01/31/21,% Students with COVID 01/31/21,Cumulative Student Cases 01/24/21,Cumulative Staff Cases 01/24/21,% Students with COVID 01/24/21,Cumulative Student Cases 01/17/21,Cumulative Staff Cases 01/17/21,% Students with COVID 01/17/21,Cumulative Student Cases 01/10/21,Cumulative Staff Cases 01/10/21,% Students with COVID 01/10/21,Cumulative Student Cases 01/03/21,Cumulative Staff Cases 01/03/21,% Students with COVID 01/03/21,Cumulative Student Cases 12/27/20,Cumulative Staff Cases 12/27/20,% Students with COVID 12/27/20,Cumulative Student Cases 12/20/20,Cumulative Staff Cases 12/20/20,% Students with COVID 12/20/20,Cumulative Student Cases 12/13/20,Cumulative Staff Cases 12/13/20,% Students with COVID 12/13/20,Cumulative Student Cases 12/06/20,Cumulative Staff Cases 12/06/20,% Students with COVID 12/06/20,Cumulative Student Cases 11/29/20,Cumulative Staff Cases 11/29/20,% Students with COVID 11/29/20,Cumulative Student Cases 11/22/20,Cumulative Staff Cases 11/22/20,% Students with COVID 11/22/20,Cumulative Staff Cases 11/15/20,Cumulative Student Cases 11/15/20,% Students with COVID 11/15/20,District Enrollment 09/28/20,Approx. District On-Campus Enrollment 09/28/20,Cumulative Staff Cases 11/08/20,% District On-Campus 09/28/20,Cumulative Student Cases 11/08/20,% Students with COVID 11/08/20,Cumulative Staff Cases 11/01/20,Cumulative Student Cases 11/01/20,% Students with COVID 11/01/20,Cumulative Staff Cases 10/25/20,Cumulative Student Cases 10/25/20,% Students with COVID 10/25/20,Cumulative Staff Cases 10/18/20,Cumulative Student Cases 10/18/20,% Students with COVID 10/18/20,Cumulative Staff Cases 10/11/20,Cumulative Student Cases 10/11/20,% Students with COVID 10/11/20,District Enrollment First Week,Approx. District On-Campus Enrollment First Week,Cumulative Staff Cases 10/04/20,% District On-Campus First Week,Cumulative Student Cases 10/04/20,% Students with COVID 10/04/20,Cumulative Staff Cases 09/27/20,Cumulative Student Cases 09/27/20,% Students with COVID 09/27/20,District #
541.0,527.0,38.0,22.0,0.9741219963031423,0.07024029574861368,38.0,22.0,0.07024029574861368,38.0,22.0,0.07024029574861368,38.0,22.0,0.07024029574861368,38.0,22.0,0.07024029574861368,38.0,22.0,0.07024029574861368,38.0,22.0,0.07024029574861368,38.0,22.0,0.07024029574861368,38.0,22.0,0.07024029574861368,38.0,22.0,0.07024029574861368,38.0,22.0,0.07024029574861368,38.0,22.0,0.07024029574861368,35.0,22.0,0.06469500924214418,35.0,22.0,0.06469500924214418,35.0,22.0,0.06469500924214418,35.0,22.0,0.06469500924214418,35.0,22.0,0.06469500924214418,35.0,22.0,0.06469500924214418,35.0,22.0,0.06469500924214418,35.0,22.0,0.06469500924214418,35.0,22.0,0.06469500924214418,35.0,22.0,0.06469500924214418,35.0,22.0,0.06469500924214418,535.0,489.0,35.0,22.0,0.914018691588785,0.06542056074766354,35.0,22.0,0.06542056074766354,35.0,22.0,0.06542056074766354,35.0,22.0,0.06542056074766354,34.0,21.0,0.06355140186915888,32.0,21.0,0.059813084112149535,32.0,21.0,0.059813084112149535,29.0,18.0,0.05420560747663551,29.0,18.0,0.05420560747663551,29.0,18.0,0.05420560747663551,29.0,18.0,0.05420560747663551,29.0,18.0,0.05420560747663551,28.0,18.0,0.052336448598130844,26.0,17.0,0.048598130841121495,17.0,26.0,0.048598130841121495,544.0,415.0,10.0,0.7628676470588235,22.0,0.04044117647058824,6.0,15.0,0.027573529411764705,6.0,15.0,0.027573529411764705,4.0,15.0,0.027573529411764705,3.0,12.0,0.022058823529411766,,,3.0,,12.0,,3.0,8.0,,001902
1167.0,1120.0,43.0,45.0,0.9597257926306769,0.03684661525278492,43.0,45.0,0.03684661525278492,43.0,45.0,0.03684661525278492,43.0,45.0,0.03684661525278492,43.0,45.0,0.03684661525278492,43.0,45.0,0.03684661525278492,43.0,45.0,0.03684661525278492,43.0,45.0,0.03684661525278492,43.0,45.0,0.03684661525278492,43.0,45.0,0.03684661525278492,43.0,45.0,0.03684661525278492,42.0,45.0,0.03598971722365039,41.0,45.0,0.03513281919451585,39.0,43.0,0.033419023136246784,38.0,43.0,0.032562125107112254,38.0,43.0,0.032562125107112254,36.0,41.0,0.030848329048843187,36.0,41.0,0.030848329048843187,36.0,41.0,0.030848329048843187,36.0,41.0,0.030848329048843187,35.0,41.0,0.029991431019708654,35.0,41.0,0.029991431019708654,35.0,41.0,0.029991431019708654,1200.0,1092.0,35.0,41.0,0.91,0.029166666666666667,35.0,40.0,0.029166666666666667,35.0,40.0,0.029166666666666667,32.0,38.0,0.02666666666666667,30.0,32.0,0.025,22.0,31.0,0.018333333333333333,21.0,28.0,0.0175,15.0,24.0,0.0125,15.0,24.0,0.0125,15.0,24.0,0.0125,15.0,24.0,0.0125,12.0,22.0,0.01,9.0,18.0,0.0075,9.0,16.0,0.0075,16.0,9.0,0.0075,1207.0,1095.0,16.0,0.9072079536039768,9.0,0.007456503728251864,15.0,9.0,0.007456503728251864,14.0,8.0,0.006628003314001657,13.0,6.0,0.004971002485501243,11.0,4.0,0.0033140016570008283,340.0,289.0,9.0,0.85,2.0,0.0058823529411764705,9.0,2.0,0.0058823529411764705,001903
756.0,719.0,38.0,29.0,0.951058201058201,0.05026455026455026,38.0,29.0,0.05026455026455026,38.0,29.0,0.05026455026455026,38.0,29.0,0.05026455026455026,38.0,29.0,0.05026455026455026,38.0,29.0,0.05026455026455026,38.0,29.0,0.05026455026455026,38.0,29.0,0.05026455026455026,38.0,29.0,0.05026455026455026,38.0,29.0,0.05026455026455026,38.0,29.0,0.05026455026455026,38.0,28.0,0.05026455026455026,38.0,28.0,0.05026455026455026,38.0,28.0,0.05026455026455026,38.0,28.0,0.05026455026455026,38.0,28.0,0.05026455026455026,37.0,28.0,0.04894179894179894,37.0,28.0,0.04894179894179894,37.0,28.0,0.04894179894179894,37.0,28.0,0.04894179894179894,36.0,28.0,0.047619047619047616,36.0,28.0,0.047619047619047616,36.0,28.0,0.047619047619047616,836.0,768.0,36.0,28.0,0.9186602870813397,0.0430622009569378,36.0,28.0,0.0430622009569378,36.0,28.0,0.0430622009569378,32.0,27.0,0.03827751196172249,30.0,25.0,0.03588516746411483,3.0,25.0,0.0035885167464114833,3.0,24.0,0.0035885167464114833,3.0,22.0,0.0035885167464114833,3.0,19.0,0.0035885167464114833,3.0,13.0,0.0035885167464114833,3.0,13.0,0.0035885167464114833,3.0,13.0,0.0035885167464114833,3.0,10.0,0.0035885167464114833,3.0,6.0,0.0035885167464114833,4.0,15.0,0.017942583732057416,760.0,688.0,1.0,0.9052631578947369,7.0,0.009210526315789473,0.0,6.0,0.007894736842105263,0.0,6.0,0.007894736842105263,0.0,5.0,0.006578947368421052,0.0,4.0,0.005263157894736842,752.0,648.0,0.0,0.8617021276595744,1.0,0.0013297872340425532,0.0,1.0,0.0013297872340425532,001904
338.0,325.0,3.0,8.0,0.9615384615384616,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,3.0,8.0,0.008875739644970414,339.0,339.0,3.0,8.0,1.0,0.008849557522123894,3.0,8.0,0.008849557522123894,3.0,8.0,0.008849557522123894,3.0,8.0,0.008849557522123894,3.0,8.0,0.008849557522123894,3.0,8.0,0.008849557522123894,3.0,6.0,0.008849557522123894,3.0,6.0,0.008849557522123894,3.0,6.0,0.008849557522123894,3.0,6.0,0.008849557522123894,3.0,6.0,0.008849557522123894,3.0,5.0,0.008849557522123894,3.0,3.0,0.008849557522123894,3.0,3.0,0.008849557522123894,3.0,5.0,0.014749262536873156,317.0,313.0,3.0,0.9873817034700315,2.0,0.006309148264984227,3.0,2.0,0.006309148264984227,3.0,2.0,0.006309148264984227,3.0,2.0,0.006309148264984227,2.0,2.0,0.006309148264984227,,,2.0,,2.0,,2.0,2.0,,001906
3347.0,3124.0,60.0,49.0,0.9333731700029877,0.0179265013444876,60.0,49.0,0.0179265013444876,60.0,49.0,0.0179265013444876,60.0,49.0,0.0179265013444876,60.0,49.0,0.0179265013444876,60.0,49.0,0.0179265013444876,60.0,49.0,0.0179265013444876,60.0,49.0,0.0179265013444876,60.0,49.0,0.0179265013444876,60.0,49.0,0.0179265013444876,60.0,49.0,0.0179265013444876,60.0,49.0,0.0179265013444876,60.0,49.0,0.0179265013444876,60.0,48.0,0.0179265013444876,60.0,46.0,0.0179265013444876,60.0,46.0,0.0179265013444876,56.0,45.0,0.016731401254855095,3.0,45.0,0.00089632506722438,3.0,45.0,0.00089632506722438,3.0,45.0,0.00089632506722438,3.0,45.0,0.00089632506722438,3.0,45.0,0.00089632506722438,3.0,45.0,0.00089632506722438,3399.0,2908.0,3.0,45.0,0.8555457487496323,0.00088261253309797,3.0,45.0,0.00088261253309797,3.0,45.0,0.00088261253309797,3.0,45.0,0.00088261253309797,3.0,43.0,0.00088261253309797,42.0,42.0,0.01235657546337158,3.0,42.0,0.00088261253309797,42.0,41.0,0.01235657546337158,42.0,34.0,0.01235657546337158,42.0,34.0,0.01235657546337158,42.0,34.0,0.01235657546337158,40.0,31.0,0.011768167107972934,40.0,30.0,0.011768167107972934,40.0,29.0,0.011768167107972934,29.0,40.0,0.011768167107972934,3384.0,2857.0,25.0,0.8442671394799054,31.0,0.009160756501182032,23.0,23.0,0.0067966903073286055,23.0,22.0,0.0065011820330969266,20.0,20.0,0.00591016548463357,16.0,14.0,0.004137115839243499,3368.0,2772.0,14.0,0.8230403800475059,11.0,0.0032660332541567696,11.0,11.0,0.0032660332541567696,001907
1333.0,1237.0,3.0,33.0,0.9279819954988747,0.002250562640660165,3.0,33.0,0.002250562640660165,3.0,33.0,0.002250562640660165,3.0,33.0,0.002250562640660165,3.0,33.0,0.002250562640660165,3.0,33.0,0.002250562640660165,3.0,33.0,0.002250562640660165,3.0,33.0,0.002250562640660165,3.0,33.0,0.002250562640660165,3.0,33.0,0.002250562640660165,3.0,33.0,0.002250562640660165,3.0,33.0,0.002250562640660165,3.0,33.0,0.002250562640660165,3.0,32.0,0.002250562640660165,3.0,32.0,0.002250562640660165,3.0,31.0,0.002250562640660165,3.0,30.0,0.002250562640660165,3.0,30.0,0.002250562640660165,3.0,30.0,0.002250562640660165,3.0,30.0,0.002250562640660165,3.0,30.0,0.002250562640660165,3.0,30.0,0.002250562640660165,3.0,30.0,0.002250562640660165,1352.0,1185.0,3.0,30.0,0.8764792899408284,0.0022189349112426036,3.0,30.0,0.0022189349112426036,3.0,30.0,0.0022189349112426036,41.0,30.0,0.030325443786982247,3.0,30.0,0.0022189349112426036,3.0,29.0,0.0022189349112426036,3.0,29.0,0.0022189349112426036,3.0,29.0,0.0022189349112426036,3.0,29.0,0.0022189349112426036,3.0,29.0,0.0022189349112426036,3.0,29.0,0.0022189349112426036,3.0,29.0,0.0022189349112426036,3.0,24.0,0.0022189349112426036,3.0,24.0,0.0022189349112426036,24.0,32.0,0.023668639053254437,1358.0,1102.0,21.0,0.8114874815905744,31.0,0.022827687776141383,8.0,23.0,0.016936671575846832,4.0,21.0,0.015463917525773196,3.0,15.0,0.011045655375552283,3.0,10.0,0.007363770250368188,1256.0,984.0,3.0,0.7834394904458599,7.0,0.005573248407643312,3.0,7.0,0.005573248407643312,001908
360.0,359.0,23.0,23.0,0.9972222222222222,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,23.0,23.0,0.06388888888888888,22.0,23.0,0.06111111111111111,22.0,23.0,0.06111111111111111,22.0,23.0,0.06111111111111111,22.0,23.0,0.06111111111111111,22.0,23.0,0.06111111111111111,21.0,23.0,0.058333333333333334,21.0,23.0,0.058333333333333334,364.0,335.0,20.0,22.0,0.9203296703296703,0.054945054945054944,20.0,22.0,0.054945054945054944,20.0,22.0,0.054945054945054944,20.0,22.0,0.054945054945054944,20.0,22.0,0.054945054945054944,19.0,22.0,0.0521978021978022,18.0,21.0,0.04945054945054945,16.0,19.0,0.04395604395604396,16.0,18.0,0.04395604395604396,15.0,16.0,0.04120879120879121,13.0,11.0,0.03571428571428571,3.0,9.0,0.008241758241758242,3.0,8.0,0.008241758241758242,3.0,3.0,0.008241758241758242,1.0,2.0,0.005494505494505495,350.0,335.0,0.0,0.9571428571428572,1.0,0.002857142857142857,0.0,1.0,0.002857142857142857,,,,,,,,,,380.0,336.0,,0.8842105263157894,,,,,,001909
3992.0,3992.0,167.0,76.0,1.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,76.0,0.04183366733466934,167.0,75.0,0.04183366733466934,167.0,75.0,0.04183366733466934,167.0,75.0,0.04183366733466934,167.0,75.0,0.04183366733466934,4149.0,3654.0,167.0,75.0,0.8806941431670282,0.04025066281031574,167.0,75.0,0.04025066281031574,163.0,73.0,0.03928657507833213,156.0,70.0,0.03759942154736081,150.0,67.0,0.036153289949385395,134.0,67.0,0.03229693902145095,133.0,66.0,0.03205591708845505,108.0,56.0,0.026030368763557483,108.0,56.0,0.026030368763557483,108.0,56.0,0.026030368763557483,80.0,49.0,0.01928175463967221,63.0,46.0,0.015184381778741865,63.0,46.0,0.015184381778741865,63.0,46.0,0.015184381778741865,46.0,63.0,0.015184381778741865,4145.0,3389.0,37.0,0.8176115802171291,55.0,0.013268998793727383,29.0,41.0,0.009891435464414958,19.0,28.0,0.006755126658624849,13.0,22.0,0.005307599517490953,11.0,22.0,0.005307599517490953,1139.0,968.0,5.0,0.8498683055311677,14.0,0.012291483757682178,5.0,14.0,0.012291483757682178,002901
920.0,603.0,3.0,22.0,0.6554347826086957,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,22.0,0.003260869565217391,3.0,21.0,0.003260869565217391,3.0,21.0,0.003260869565217391,3.0,21.0,0.003260869565217391,3.0,21.0,0.003260869565217391,3.0,20.0,0.003260869565217391,3.0,20.0,0.003260869565217391,3.0,20.0,0.003260869565217391,3.0,20.0,0.003260869565217391,996.0,757.0,3.0,18.0,0.7600401606425703,0.0030120481927710845,3.0,16.0,0.0030120481927710845,3.0,16.0,0.0030120481927710845,3.0,16.0,0.0030120481927710845,3.0,15.0,0.0030120481927710845,3.0,14.0,0.0030120481927710845,3.0,14.0,0.0030120481927710845,3.0,11.0,0.0030120481927710845,3.0,9.0,0.0030120481927710845,3.0,7.0,0.0030120481927710845,3.0,7.0,0.0030120481927710845,3.0,6.0,0.0030120481927710845,3.0,5.0,0.0030120481927710845,3.0,3.0,0.0030120481927710845,3.0,0.0,0.0,988.0,653.0,3.0,0.6609311740890689,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1013.0,284.0,2.0,0.28035538005923,0.0,0.0,1.0,0.0,0.0,003801
2762.0,2564.0,109.0,32.0,0.9283128167994207,0.03946415640839971,109.0,32.0,0.03946415640839971,109.0,32.0,0.03946415640839971,109.0,32.0,0.03946415640839971,109.0,32.0,0.03946415640839971,109.0,32.0,0.03946415640839971,109.0,32.0,0.03946415640839971,109.0,32.0,0.03946415640839971,109.0,32.0,0.03946415640839971,109.0,32.0,0.03946415640839971,109.0,32.0,0.03946415640839971,109.0,32.0,0.03946415640839971,108.0,31.0,0.0391020999275887,108.0,31.0,0.0391020999275887,107.0,31.0,0.0387400434467777,106.0,31.0,0.03837798696596669,103.0,31.0,0.03729181752353367,102.0,31.0,0.036929761042722664,96.0,31.0,0.03475742215785663,96.0,31.0,0.03475742215785663,96.0,31.0,0.03475742215785663,96.0,31.0,0.03475742215785663,96.0,31.0,0.03475742215785663,2783.0,2526.0,93.0,31.0,0.9076536112109235,0.033417175709665826,93.0,31.0,0.033417175709665826,90.0,31.0,0.03233920229967661,82.0,30.0,0.029464606539705354,69.0,26.0,0.024793388429752067,63.0,23.0,0.022637441609773625,54.0,21.0,0.019403521379805964,54.0,21.0,0.019403521379805964,54.0,21.0,0.019403521379805964,54.0,21.0,0.019403521379805964,46.0,17.0,0.01652892561983471,46.0,10.0,0.01652892561983471,37.0,8.0,0.01329500538986705,36.0,8.0,0.012935680919870643,7.0,32.0,0.011498383039885016,2793.0,2309.0,7.0,0.8267096312209095,30.0,0.010741138560687433,7.0,27.0,0.00966702470461869,5.0,27.0,0.00966702470461869,4.0,16.0,0.005728607232366631,4.0,15.0,0.0053705692803437165,2746.0,2208.0,3.0,0.8040786598689003,15.0,0.005462490895848507,3.0,15.0,0.005462490895848507,003902
