Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - January 10, 2021, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: January 4, 2021 - January 10, 2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Current Report Period,,,,,Cumulative Reports,,,,
,,,,,,,,,,"School Reported Source
of Infection",,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment as
of October 30,
2020","Approximate
District On Campus
Enrollment as of
October 30, 2020",Campus Name,"Campus
ID","Total School
Enrollment as
of October
30, 2020","On-Campus
Enrollment for
School as of
October 30, 2020","New
Student
Cases","New
Staff
Cases","On
Campus","Off
Campus",Unknown,"Total
Student
Cases","Total
Staff
Cases","On
Campus","Off
Campus",Unknown
CAYUGA ISD,'001902,535,489,CAYUGA EL,'001902103,236,208,,,,,,7,3,2,7,1
CAYUGA ISD,'001902,535,489,CAYUGA MIDDLE,'001902041,133,126,*,0,*,*,*,10,4,2,6,6
CAYUGA ISD,'001902,535,489,CAYUGA H S,'001902001,166,155,*,2,*,*,*,15,14,3,15,11
CAYUGA ISD TOTAL,'001902,535,489,,,535,489,*,2,*,*,*,32,21,7,28,18
ELKHART ISD,'001903,1200,1092,ELKHART DAEP,'001903002,NR,NR,,,,,,,,,,
ELKHART ISD,'001903,1200,1092,ELKHART INT,'001903102,266,231,,,,,,*,4,*,*,*
ELKHART ISD,'001903,1200,1092,ELKHART EL,'001903101,322,291,0,3,0,3,0,*,9,*,*,*
ELKHART ISD,'001903,1200,1092,,"Multiple
Campus",NR,NR,,,,,,1,8,0,1,8
ELKHART ISD,'001903,1200,1092,ELKHART MIDDLE,'001903041,268,260,*,0,*,*,*,7,4,0,2,9
ELKHART ISD,'001903,1200,1092,ELKHART H S,'001903001,344,310,*,1,*,*,*,10,3,0,5,8
ELKHART ISD TOTAL,'001903,1200,1092,,,1200,1092,*,4,*,*,*,21,28,0,14,35
FRANKSTON ISD,'001904,836,768,FRANKSTON MIDDLE,'001904041,200,189,,,,,,*,4,*,*,*
FRANKSTON ISD,'001904,836,768,,"Multiple
Campus",NR,NR,,,,,,0,3,0,2,1
FRANKSTON ISD,'001904,836,768,FRANKSTON EL,'001904102,343,310,,,,,,6,11,0,10,7
FRANKSTON ISD,'001904,836,768,FRANKSTON H S,'001904001,293,269,,,,,,18,6,4,11,9
FRANKSTON ISD TOTAL,'001904,836,768,,,836,768,,,,,,*,24,*,*,*
NECHES ISD,'001906,339,339,NECHES H S,'001906002,95,95,,,,,,*,2,*,*,*
NECHES ISD,'001906,339,339,NECHES EL,'001906102,244,244,,,,,,*,4,*,*,*
NECHES ISD,'001906,339,339,,"Multiple
Campus",NR,NR,,,,,,1,0,0,0,1
NECHES ISD TOTAL,'001906,339,339,,,339,339,,,,,,*,6,*,*,*
