Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - September 20, 2020, Texas",,,,,,,,,,,,,,,
"Current Week:September 14, 2020-September 20, 2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Current Week,,,,,,,Cumulative Reports,,,,,,
,,,,,,"School Reported Source of
Infection",,,,,,,"School Reported Source of
Infection",,
District Name,Total District Enrollment First Week of School,"New Student
Cases Grades
EE-3","New Student
Cases Grades
4-6","New Student
Cases Grades
7-12","New
Staff
Cases","On
Campus","Off
Campus",Unknown,"Total Student
Cases Grades
EE-3","Total Student
Cases Grades
4-6","Total Student
Cases Grades
7-12","Total
Staff
Cases","On
Campus","Off
Campus",Unknown
A W BROWN LEADERSHIP ACADEMY,1404,,,,,,,,,,,,,,
A+ ACADEMY,1394,,,,,,,,,,,,,,
A+ UNLIMITED POTENTIAL,131,,,,,,,,,,,,,,
ABBOTT ISD,282,,,,,,,,,,,,,,
ABERNATHY ISD,NR,,,,,,,,0,1,1,0,0,1,1
ABILENE ISD,14667,1,0,7,4,0,8,4,1,2,14,10,0,16,11
ACADEMY FOR ACADEMIC EXCELLENCE,190,,,,,,,,,,,,,,
ACADEMY ISD,1710,,,,,,,,,,,,,,
ACADEMY OF ACCELERATED LEARNING INC,789,,,,,,,,,,,,,,
ACADEMY OF DALLAS,297,,,,,,,,,,,,,,
ACCELERATED INTERMEDIATE ACADEMY,236,,,,,,,,,,,,,,
ADRIAN ISD,116,,,,,,,,,,,,,,
ADVANTAGE ACADEMY,1202,,,,,,,,0,0,0,2,0,2,0
AGUA DULCE ISD,396,,,,,,,,0,0,0,0,0,0,1
ALAMO HEIGHTS ISD,4807,,,,,,,,0,0,1,0,0,1,0
ALBA-GOLDEN ISD,853,,,,,,,,,,,,,,
ALBANY ISD,509,0,0,1,1,0,0,2,0,0,4,1,0,0,5
ALDINE ISD,61860,0,0,0,4,0,0,4,0,0,0,14,1,1,12
ALEDO ISD,6603,1,0,0,1,0,2,0,2,0,2,4,0,4,4
ALICE ISD,4565,0,0,3,1,0,1,3,0,0,5,2,0,3,4
ALIEF ISD,40546,0,0,0,3,0,3,0,0,0,0,3,0,3,0
ALIEF MONTESSORI COMMUNITY SCHOOL,323,,,,,,,,,,,,,,
ALLEN ISD,21506,2,0,1,0,0,0,3,3,0,10,1,0,0,14
ALPINE ISD,959,,,,,,,,,,,,,,
ALTO ISD,623,0,1,1,2,0,1,3,0,2,8,3,0,1,12
ALVARADO ISD,3561,,,,,,,,0,0,1,3,0,2,2
ALVIN ISD,26475,0,1,0,0,0,1,0,0,1,1,3,0,5,0
ALVORD ISD,213,0,0,2,0,0,1,1,0,1,2,0,0,2,1
AMARILLO ISD,31494,3,4,18,16,3,28,10,6,8,37,40,5,68,18
AMBASSADORS PREPARATORY ACADEMY,233,,,,,,,,,,,,,,
AMHERST ISD,128,,,,,,,,,,,,,,
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,509,,,,,,,,0,1,0,0,0,1,0
ANAHUAC ISD,1282,,,,,,,,0,0,0,1,0,1,0
ANDERSON-SHIRO CISD,906,,,,,,,,0,0,1,1,0,0,2
ANDREWS ISD,NR,0,0,1,0,0,1,0,0,0,2,0,0,2,0
ANGLETON ISD,6857,,,,,,,,2,0,0,6,4,4,0
ANNA ISD,3977,,,,,,,,0,0,2,0,0,0,2
ANSON ISD,714,,,,,,,,0,1,0,5,0,3,3
ANTHONY ISD,768,,,,,,,,0,0,1,0,0,1,0
ANTON ISD,180,0,0,1,0,1,0,0,0,0,1,0,1,0,0
APPLE SPRINGS ISD,204,,,,,,,,,,,,,,
AQUILLA ISD,NR,,,,,,,,,,,,,,
ARANSAS COUNTY ISD,2970,1,1,1,0,0,1,2,1,1,4,0,0,1,5
ARANSAS PASS ISD,1739,,,,,,,,0,0,0,1,0,1,0
ARCHER CITY ISD,504,,,,,,,,,,,,,,
ARGYLE ISD,3691,0,0,0,1,0,1,0,1,0,2,1,0,4,0
ARISTOI CLASSICAL ACADEMY,1070,0,0,0,1,0,0,1,0,0,0,1,0,0,1
ARLINGTON CLASSICS ACADEMY,1513,,,,,,,,0,1,0,0,0,1,0
ARLINGTON ISD,54496,0,0,3,6,0,0,9,0,0,8,33,1,0,40
ARP ISD,230,,,,,,,,0,2,1,1,0,2,2
ARROW ACADEMY,641,,,,,,,,0,1,0,0,0,1,0
ASPERMONT ISD,208,,,,,,,,0,0,1,0,0,1,0
ATHENS ISD,2873,0,0,1,0,0,1,0,0,0,3,6,0,2,7
ATLANTA ISD,1810,2,1,2,4,0,1,8,3,2,12,8,0,7,19
AUBREY ISD,2601,,,,,,,,0,0,1,0,1,0,0
AUSTIN ACHIEVE PUBLIC SCHOOLS,2107,,,,,,,,,,,,,,
AUSTIN DISCOVERY SCHOOL,438,,,,,,,,,,,,,,
AUSTIN ISD,75391,0,0,2,1,0,0,3,0,0,3,3,0,0,7
AUSTWELL-TIVOLI ISD,128,,,,,,,,,,,,,,
AVALON ISD,315,,,,,,,,,,,,,,
AVERY ISD,NR,,,,,,,,,,,,,,
AVINGER ISD,144,,,,,,,,,,,,,,
AXTELL ISD,767,,,,,,,,,,,,,,
AZLE ISD,6573,0,0,2,1,0,0,3,1,0,3,2,0,2,4
BAIRD ISD,275,,,,,,,,,,,,,,
BALLINGER ISD,838,,,,,,,,3,0,0,0,0,3,0
BALMORHEA ISD,156,,,,,,,,,,,,,,
BANDERA ISD,2203,0,0,1,0,0,1,0,0,0,1,0,0,1,0
BANGS ISD,845,0,0,3,0,0,0,3,0,1,5,2,0,0,8
BANQUETE ISD,NR,,,,,,,,0,0,3,2,0,5,0
BARBERS HILL ISD,1136,0,1,0,0,0,1,0,0,2,3,2,0,7,0
BARTLETT ISD,364,,,,,,,,,,,,,,
BASIS TEXAS,3099,1,0,0,0,0,1,0,1,0,0,0,0,1,0
BASTROP ISD,11255,0,0,0,1,0,1,0,0,1,2,5,0,7,1
BAY CITY ISD,3283,0,1,1,0,0,1,1,2,2,1,0,0,3,2
BEATRICE MAYES INSTITUTE CHARTER SCHOOL,466,,,,,,,,,,,,,,
BEAUMONT ISD,17002,0,0,1,3,2,1,1,0,0,2,25,11,12,4
BECKVILLE ISD,679,0,1,0,3,1,2,1,0,1,0,4,1,3,1
