Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - October 25, 2020, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: October 19, 2020 - October 25, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Current Report Period,,,,,,,Cumulative Reports,,,,,,
,,,,,,,,"School Reported Source
of Infection",,,,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment as of
September 28, 2020","Approximate District On
Campus Enrollment as
of September 28, 2020","New
Student
Cases
Grades
EE-3","New
Student
Cases
Grades 4-6","New
Student
Cases
Grades
7-12","New
Staff
Cases","On
Campus","Off
Campus",Unknown,"Total
Student
Cases
Grades
EE-3","Total
Student
Cases
Grades 4-6","Total
Student
Cases
Grades
7-12","Total
Staff
Cases","On
Campus","Off
Campus",Unknown
"A W BROWN LEADERSHIP
ACADEMY",'057816,1343,557,0,0,0,1,0,1,0,0,0,1,1,0,2,0
A+ ACADEMY,'057829,1314,477,0,0,0,1,0,0,1,1,0,1,2,0,3,1
A+ UNLIMITED POTENTIAL,'101871,152,23,,,,,,,,,,,,,,
ABBOTT ISD,'109901,288,266,,,,,,,,,,,,,,
ABERNATHY ISD,'095901,803,753,2,0,4,2,0,3,5,2,1,11,7,0,9,12
ABILENE ISD,'221901,15672,12933,0,1,12,10,0,11,12,4,8,62,62,0,74,62
"ACADEMY FOR ACADEMIC
EXCELLENCE",'057814,294,8,,,,,,,,*,*,*,*,*,*,*
ACADEMY ISD,'014901,1749,1432,0,0,0,1,0,0,1,0,0,3,3,0,0,6
"ACADEMY OF ACCELERATED
LEARNING INC",'101810,857,149,,,,,,,,0,0,0,2,0,2,0
ACADEMY OF DALLAS,'057810,294,0,,,,,,,,*,*,*,*,*,*,*
"ACCELERATED INTERMEDIATE
ACADEMY",'101849,236,0,,,,,,,,,,,,,,
ADRIAN ISD,'180903,122,122,,,,,,,,,,,,,,
ADVANTAGE ACADEMY,'057806,1197,405,0,1,2,0,0,1,2,1,1,4,5,0,4,7
AGUA DULCE ISD,'178901,442,330,,,,,,,,1,3,1,5,0,2,8
ALAMO HEIGHTS ISD,'015901,4507,2782,1,0,3,0,1,3,0,4,3,5,5,3,14,0
ALBA-GOLDEN ISD,'250906,824,668,,,,,,,,1,0,4,2,0,1,6
ALBANY ISD,'209901,508,468,,,,,,,,0,1,10,3,0,0,14
ALDINE ISD,'101902,63330,12669,3,3,5,20,0,1,30,15,9,13,68,1,3,101
ALEDO ISD,'184907,6737,5837,,,,,,,,2,0,16,7,0,6,19
ALICE ISD,'125901,4711,14,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ALIEF ISD,'101903,41282,2011,3,0,1,6,0,10,0,5,1,4,37,0,47,0
"ALIEF MONTESSORI
COMMUNITY SCHOOL",'101815,327,40,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ALLEN ISD,'043901,21539,10558,1,6,6,5,0,0,18,6,10,54,18,0,0,88
ALPINE ISD,'022901,906,798,,,,,,,,0,0,2,1,0,0,3
ALTO ISD,'037901,636,527,,,,,,,,1,2,8,4,0,1,14
ALVARADO ISD,'126901,3554,2018,0,0,0,3,0,0,3,1,0,8,8,0,5,12
ALVIN ISD,'020901,26817,14563,1,4,9,4,0,18,0,5,12,46,24,0,87,0
ALVORD ISD,'249901,720,678,,,,,,,,0,1,2,0,0,2,1
AMARILLO ISD,'188901,31379,25615,18,32,64,76,0,102,88,41,80,292,250,11,357,295
"AMBASSADORS PREPARATORY
ACADEMY",'084804,250,125,,,,,,,,0,1,0,0,0,0,1
AMHERST ISD,'140901,131,126,,,,,,,,0,0,2,0,0,2,0
"AMIGOS POR VIDA-FRIENDS
FOR LIFE PUB CHTR SCH",'101819,482,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ANAHUAC ISD,'036901,1320,1138,0,0,0,1,0,1,0,0,0,1,2,0,3,0
ANDERSON-SHIRO CISD,'093901,902,795,,,,,,,,0,0,1,1,0,0,2
ANDREWS ISD,'002901,4145,3389,,,,,,,,4,6,18,19,0,46,1
ANGLETON ISD,'020902,6811,3554,,,,,,,,7,7,8,18,14,26,0
ANNA ISD,'043902,3930,2838,,,,,,,,0,0,4,4,0,0,8
ANSON ISD,'127901,716,659,,,,,,,,0,2,0,5,0,4,3
ANTHONY ISD,'071906,796,397,2,0,4,0,0,6,0,2,0,6,2,0,9,1
ANTON ISD,'110901,188,155,1,0,0,0,0,1,0,1,0,2,1,1,3,0
APPLE SPRINGS ISD,'228905,195,188,,,,,,,,0,0,1,1,1,0,1
AQUILLA ISD,'109912,326,293,,,,,,,,,,,,,,
ARANSAS COUNTY ISD,'004901,2994,1746,,,,,,,,1,1,5,0,0,1,6
ARANSAS PASS ISD,'205901,1622,903,,,,,,,,0,0,1,1,0,2,0
ARCHER CITY ISD,'005901,512,477,,,,,,,,0,0,1,2,0,2,1
ARGYLE ISD,'061910,3725,3017,1,4,2,2,0,0,9,4,5,13,14,0,14,22
ARISTOI CLASSICAL ACADEMY,'101803,1073,608,0,0,1,0,0,0,1,0,0,1,1,0,0,2
"ARLINGTON CLASSICS
ACADEMY",'220802,1564,679,0,0,0,1,0,1,0,1,1,0,2,0,4,0
ARLINGTON ISD,'220901,56626,14138,16,9,9,19,0,0,53,27,15,44,123,5,0,204
ARP ISD,'212901,871,790,,,,,,,,0,2,2,2,0,3,3
ARROW ACADEMY,'021805,686,214,,,,,,,,0,1,0,0,0,1,0
ASPERMONT ISD,'217901,210,203,,,,,,,,0,0,1,0,0,1,0
ATHENS ISD,'107901,3007,1596,0,2,3,3,0,3,5,1,3,8,13,0,6,19
ATLANTA ISD,'034901,1840,1634,0,0,0,1,0,0,1,3,2,18,20,0,16,27
