Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 -  November 17, 2020, Texas",,,,,,,,,,,,,,,,,
"Current Report Period:  November 9, 2020-  November 15, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Current Report Period,,,,,,,Cumulative Reports,,,,,,
,,,,,,,,"School Reported Source
of Infection",,,,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment as of
October 30, 2020","Approximate District On
Campus Enrollment as
of October 30, 2020","New
Student
Cases
Grades
EE-3","New
Student
Cases
Grades 4-6","New
Student
Cases
Grades
7-12","New
Staff
Cases","On
Campus","Off
Campus",Unknown,"Total
Student
Cases
Grades
EE-3","Total
Student
Cases
Grades 4-6","Total
Student
Cases
Grades
7-12","Total
Staff
Cases","On
Campus","Off
Campus",Unknown
"A W BROWN LEADERSHIP
ACADEMY",'057816,1382,556,,,,,,,,3,0,2,4,0,7,2
A+ ACADEMY,'057829,1456,803,0,0,1,1,0,2,0,1,0,2,3,0,5,1
A+ UNLIMITED POTENTIAL,'101871,153,58,,,,,,,,,,,,,,
ABBOTT ISD,'109901,276,267,,,,,,,,0,0,1,0,0,1,0
ABERNATHY ISD,'095901,805,744,,,,,,,,2,1,11,7,0,9,12
ABILENE ISD,'221901,15844,13369,7,5,26,29,0,31,36,17,19,141,141,0,158,160
"ACADEMY FOR ACADEMIC
EXCELLENCE",'057814,321,126,0,0,8,0,8,0,0,0,0,11,1,10,0,2
ACADEMY ISD,'014901,1727,1549,0,0,2,1,0,0,3,0,0,5,5,0,0,10
"ACADEMY OF ACCELERATED
LEARNING INC",'101810,852,342,,,,,,,,0,0,0,2,0,2,0
ACADEMY OF DALLAS,'057810,341,148,,,,,,,,0,0,0,2,0,1,1
"ACCELERATED INTERMEDIATE
ACADEMY",'101849,233,85,,,,,,,,,,,,,,
ADRIAN ISD,'180903,122,120,,,,,,,,,,,,,,
ADVANTAGE ACADEMY,'057806,1208,472,1,0,2,2,1,3,1,3,1,6,8,1,7,10
AGUA DULCE ISD,'178901,445,311,0,0,1,0,0,1,0,1,3,2,5,0,3,8
ALAMO HEIGHTS ISD,'015901,4778,3519,1,2,1,1,0,5,0,7,8,8,11,3,31,0
ALBA-GOLDEN ISD,'250906,853,815,0,0,0,2,0,0,2,1,0,7,4,0,1,11
ALBANY ISD,'209901,503,485,,,,,,,,0,1,11,3,0,0,15
ALDINE ISD,'101902,63449,27915,11,6,7,30,0,0,54,33,20,30,113,1,3,192
ALEDO ISD,'184907,6716,6100,,,,,,,,3,0,33,11,0,10,37
ALICE ISD,'125901,4671,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ALIEF ISD,'101903,43233,14447,5,2,12,2,11,9,1,18,6,26,57,12,94,1
"ALIEF MONTESSORI
COMMUNITY SCHOOL",'101815,332,44,,,,,,,,*,*,*,*,*,*,*
ALLEN ISD,'043901,21656,11636,0,9,17,11,0,0,37,12,29,97,39,0,0,177
ALPINE ISD,'022901,926,857,0,0,1,2,0,0,3,0,1,5,4,0,0,10
ALTO ISD,'037901,609,602,0,0,1,2,0,0,3,1,2,9,6,0,1,17
ALVARADO ISD,'126901,3464,2467,3,1,3,9,7,0,9,6,6,19,23,11,10,33
ALVIN ISD,'020901,26997,17048,2,4,11,8,0,25,0,8,23,67,44,0,142,0
ALVORD ISD,'249901,711,667,0,0,0,1,0,0,1,2,3,12,16,8,4,21
AMARILLO ISD,'188901,31402,26649,25,41,109,74,1,73,175,103,154,521,467,12,566,667
"AMBASSADORS PREPARATORY
ACADEMY",'084804,246,175,,,,,,,,0,1,0,0,0,0,1
AMHERST ISD,'140901,133,133,0,0,1,0,0,0,1,0,0,3,0,0,2,1
"AMIGOS POR VIDA-FRIENDS
FOR LIFE PUB CHTR SCH",'101819,479,341,,,,,,,,0,2,0,2,0,3,1
ANAHUAC ISD,'036901,1322,1196,,,,,,,,1,0,3,2,0,5,1
ANDERSON-SHIRO CISD,'093901,881,868,,,,,,,,0,0,3,3,0,3,3
ANDREWS ISD,'002901,4149,3654,0,1,7,9,0,17,0,4,15,44,46,0,108,1
ANGLETON ISD,'020902,6853,5167,3,2,3,4,3,9,0,13,9,20,25,17,50,0
ANNA ISD,'043902,3980,3106,2,1,3,0,0,0,6,4,1,12,6,0,2,21
ANSON ISD,'127901,711,675,0,0,2,1,0,3,0,0,2,2,6,0,7,3
ANTHONY ISD,'071906,787,270,0,0,0,2,0,2,0,7,5,12,8,1,29,2
ANTON ISD,'110901,184,155,0,1,0,0,0,1,0,1,2,4,3,1,8,1
APPLE SPRINGS ISD,'228905,207,207,,,,,,,,0,0,1,1,1,0,1
AQUILLA ISD,'109912,319,295,,,,,,,,,,,,,,
ARANSAS COUNTY ISD,'004901,3010,2273,,,,,,,,4,1,6,1,0,1,11
ARANSAS PASS ISD,'205901,1641,1267,0,1,1,0,0,2,0,1,1,3,2,0,7,0
ARCHER CITY ISD,'005901,502,488,,,,,,,,0,0,2,2,0,3,1
ARGYLE ISD,'061910,3751,3235,0,1,9,5,2,2,11,6,7,38,23,2,25,47
ARISTOI CLASSICAL ACADEMY,'101803,1073,820,,,,,,,,0,0,3,2,0,2,3
"ARLINGTON CLASSICS
ACADEMY",'220802,1541,828,0,0,0,1,1,0,0,2,2,0,5,1,5,3
ARLINGTON ISD,'220901,56995,21754,15,20,37,56,4,0,124,64,52,113,228,10,0,447
ARP ISD,'212901,874,858,,,,,,,,0,2,2,2,0,3,3
ARROW ACADEMY,'021805,686,438,,,,,,,,0,1,0,0,0,1,0
ASPERMONT ISD,'217901,215,213,,,,,,,,0,0,1,0,0,1,0
ATHENS ISD,'107901,3019,2781,2,3,2,5,0,0,12,7,14,21,27,0,7,62
ATLANTA ISD,'034901,1846,1657,2,5,8,2,0,11,6,5,7,33,26,0,36,35
AUBREY ISD,'061907,2642,2251,0,0,0,1,0,0,1,0,1,7,4,1,5,6
"AUSTIN ACHIEVE PUBLIC
SCHOOLS",'227825,2150,373,,,,,,,,,,,,,,
AUSTIN DISCOVERY SCHOOL,'227821,433,125,,,,,,,,,,,,,,
AUSTIN ISD,'227901,75028,17872,,,,,,,,14,11,24,50,3,1,95
AUSTWELL-TIVOLI ISD,'196901,137,118,,,,,,,,,,,,,,
AVALON ISD,'070901,332,291,,,,,,,,0,0,2,1,0,3,0
AVERY ISD,'194902,322,320,,,,,,,,,,,,,,
AVINGER ISD,'034902,136,126,,,,,,,,0,0,0,1,0,1,0
AXTELL ISD,'161918,772,752,,,,,,,,1,1,4,3,0,8,1
AZLE ISD,'220915,6590,4855,4,2,6,6,1,2,15,14,11,43,28,6,25,65
BAIRD ISD,'030903,263,247,,,,,,,,,,,,,,
BALLINGER ISD,'200901,856,647,0,0,2,6,0,4,4,3,4,10,10,2,20,5
BALMORHEA ISD,'195902,150,136,,,,,,,,0,0,1,0,0,1,0
