District #,CARES ESSER I 20,CRRSA ESSER II 21,ARP ESSER III 21,ESSER-SUPP 22,ESSER-SUPP 23
57816,504727.0,1716028.0,3855200.0,0.0,0.0
57829,486940.0,2191417.0,4923202.0,0.0,0.0
101871,43143.0,200027.0,449378.0,0.0,0.0
109901,24677.0,89211.0,200420.0,0.0,0.0
95901,148782.0,547022.0,1228930.0,0.0,0.0
221901,3970117.0,18732848.0,42084907.0,0.0,0.0
57814,319147.0,1353483.0,3040713.0,0.0,0.0
14901,87745.0,365709.0,821596.0,270526.0,270527.0
101810,308141.0,1420655.0,3191620.0,0.0,0.0
57810,180574.0,650831.0,1462146.0,0.0,0.0
101849,187211.0,711387.0,1598189.0,0.0,0.0
180903,11258.0,61882.0,139023.0,0.0,0.0
57806,396824.0,1437759.0,3230046.0,0.0,0.0
178901,87504.0,381293.0,856607.0,0.0,0.0
15901,307326.0,1344228.0,3019920.0,42434.0,42434.0
250906,226171.0,935803.0,2102359.0,0.0,0.0
209901,76315.0,336870.0,756806.0,0.0,0.0
101902,24380064.0,105000820.0,235893107.0,0.0,0.0
184907,235781.0,977867.0,2196860.0,899930.0,899929.0
125901,1685876.0,7662735.0,17214975.0,0.0,0.0
101903,17137807.0,75025108.0,168550167.0,0.0,0.0
101815,54498.0,257977.0,579566.0,0.0,0.0
43901,404265.0,3837264.0,8620733.0,1150976.0,1150975.0
22901,162989.0,741509.0,1665862.0,0.0,0.0
37901,191131.0,848282.0,1905737.0,0.0,0.0
126901,476009.0,2159203.0,4850831.0,0.0,0.0
20901,2234679.0,9468386.0,21271519.0,83101.0,83101.0
249901,57455.0,232937.0,523311.0,0.0,0.0
188901,7337273.0,32375036.0,72733222.0,0.0,0.0
84804,79315.0,285526.0,641459.0,0.0,0.0
140901,63914.0,230083.0,516901.0,0.0,0.0
101819,234332.0,1035522.0,2326388.0,0.0,0.0
36901,198612.0,827108.0,1858167.0,0.0,0.0
93901,63846.0,275950.0,619945.0,0.0,0.0
2901,457016.0,1926397.0,4327812.0,0.0,0.0
20902,887219.0,4138615.0,9297743.0,0.0,0.0
43902,191585.0,751242.0,1687729.0,1071606.0,1071605.0
127901,141993.0,645351.0,1449835.0,0.0,0.0
71906,194653.0,823119.0,1849204.0,0.0,0.0
110901,71831.0,460283.0,1034064.0,0.0,0.0
228905,77228.0,360132.0,809067.0,0.0,0.0
109912,30846.0,134015.0,301077.0,0.0,0.0
4901,816698.0,3733925.0,8388575.0,0.0,0.0
205901,535522.0,2156494.0,4844743.0,0.0,0.0
5901,74077.0,349851.0,785969.0,0.0,0.0
61910,38769.0,168896.0,379439.0,1131300.0,1131300.0
101803,51545.0,245971.0,552595.0,154106.0,154107.0
220802,91309.0,382586.0,859512.0,0.0,0.0
220901,15005203.0,59962913.0,134711689.0,0.0,0.0
212901,163129.0,649698.0,1459602.0,0.0,0.0
21805,227989.0,1038212.0,2332430.0,0.0,0.0
217901,36053.0,142756.0,320714.0,0.0,0.0
107901,784112.0,3724462.0,8367316.0,0.0,0.0
34901,504622.0,2684800.0,6031628.0,0.0,0.0
61907,101963.0,464607.0,1043778.0,533390.0,533390.0
227825,554221.0,2457240.0,5520394.0,0.0,0.0
227821,34710.0,118010.0,265120.0,77373.0,77373.0
227901,17285229.0,69277786.0,155638330.0,0.0,0.0
196901,77996.0,296493.0,666096.0,0.0,0.0
70901,21861.0,105290.0,236542.0,54462.0,54463.0
194902,69908.0,304014.0,682993.0,0.0,0.0
34902,49039.0,229572.0,515752.0,0.0,0.0
161918,289528.0,1218689.0,2737887.0,0.0,0.0
220915,919783.0,3685435.0,8279638.0,0.0,0.0
30903,78227.0,314199.0,705873.0,0.0,0.0
200901,206441.0,790233.0,1775324.0,0.0,0.0
195902,54028.0,194494.0,436947.0,0.0,0.0
10902,399794.0,1869781.0,4200619.0,0.0,0.0
25901,156536.0,652739.0,1466433.0,0.0,0.0
178913,177926.0,701603.0,1576210.0,0.0,0.0
36902,233779.0,890905.0,2001492.0,879200.0,879200.0
14902,71616.0,322796.0,725188.0,0.0,0.0
11901,1519423.0,6810574.0,15300523.0,0.0,0.0
158901,1037681.0,4695707.0,10549298.0,0.0,0.0
101847,161573.0,721003.0,1619794.0,0.0,0.0
123910,6071436.0,25428686.0,57127666.0,0.0,0.0
183901,75747.0,369274.0,829606.0,0.0,0.0
13901,1038062.0,4536678.0,10192026.0,0.0,0.0
39904,19064.0,80607.0,181091.0,0.0,0.0
91901,67352.0,270791.0,608354.0,0.0,0.0
8901,424372.0,1708587.0,3838483.0,0.0,0.0
14903,1171977.0,4950005.0,11120599.0,0.0,0.0
125902,107298.0,489142.0,1098899.0,0.0,0.0
66901,150936.0,573542.0,1288510.0,0.0,0.0
101870,141940.0,847674.0,1904371.0,0.0,0.0
152806,51473.0,190013.0,426881.0,0.0,0.0
15809,132159.0,548124.0,1231407.0,0.0,0.0
230901,184167.0,697286.0,1566511.0,0.0,0.0
187901,102194.0,431581.0,969582.0,0.0,0.0
114901,907457.0,4283433.0,9623089.0,0.0,0.0
193801,108254.0,439002.0,986254.0,0.0,0.0
220902,3966673.0,17368305.0,39019347.0,0.0,0.0
178902,220386.0,1155691.0,2596357.0,0.0,0.0
16902,142783.0,653153.0,1467363.0,0.0,0.0
116915,123958.0,604617.0,1358322.0,0.0,0.0
25904,42250.0,152099.0,341703.0,0.0,0.0
101875,17112.0,323307.0,726336.0,0.0,0.0
34909,49027.0,335303.0,753285.0,0.0,0.0
175902,144860.0,594509.0,1335614.0,0.0,0.0
235901,265776.0,1030607.0,2315345.0,0.0,0.0
43917,60047.0,294745.0,662170.0,0.0,0.0
72904,17699.0,82355.0,185017.0,12632.0,12633.0
109913,40097.0,165625.0,372090.0,0.0,0.0
123807,379310.0,2150386.0,4831021.0,0.0,0.0
130901,437941.0,1846973.0,4149379.0,813729.0,813729.0
116916,108480.0,482042.0,1082948.0,0.0,0.0
241901,145606.0,549728.0,1235010.0,0.0,0.0
74903,341178.0,1428858.0,3210048.0,0.0,0.0
148901,33881.0,140003.0,314529.0,0.0,0.0
17901,14027.0,55834.0,125436.0,0.0,0.0
117901,395252.0,1709001.0,3839414.0,0.0,0.0
161923,52283.0,238249.0,535247.0,0.0,0.0
185901,93836.0,338433.0,760319.0,0.0,0.0
169901,276381.0,1151762.0,2587529.0,0.0,0.0
249902,121772.0,457105.0,1026925.0,22114.0,22114.0
180901,367483.0,1640754.0,3686091.0,0.0,0.0
136901,121792.0,536236.0,1204698.0,0.0,0.0
160901,295801.0,1179846.0,2650623.0,0.0,0.0
8903,106697.0,400800.0,900431.0,0.0,0.0
213801,46444.0,191988.0,431317.0,0.0,0.0
21803,134384.0,552752.0,1241803.0,0.0,0.0
20905,2040576.0,9415415.0,21152516.0,0.0,0.0
215901,362928.0,1674321.0,3761502.0,0.0,0.0
198901,112002.0,474290.0,1065532.0,0.0,0.0
239901,809086.0,3414277.0,7670458.0,0.0,0.0
181901,216244.0,898283.0,2018067.0,4558.0,4559.0
249903,421663.0,1598933.0,3592137.0,0.0,0.0
203902,141984.0,629550.0,1414336.0,0.0,0.0
184909,47231.0,176919.0,397462.0,417674.0,417673.0
41901,47022.0,195994.0,440318.0,0.0,0.0
121902,80452.0,418823.0,940922.0,0.0,0.0
25908,26251.0,123978.0,278527.0,0.0,0.0
15830,693425.0,3795877.0,8527756.0,0.0,0.0
24901,807899.0,3656282.0,8214143.0,0.0,0.0
223901,493085.0,2317333.0,5206083.0,0.0,0.0
107902,580437.0,2534759.0,5694549.0,0.0,0.0
31901,19998459.0,82530144.0,185410858.0,0.0,0.0
25902,831822.0,3066992.0,6890254.0,0.0,0.0
161919,111510.0,519268.0,1166579.0,0.0,0.0
21902,4240566.0,18737098.0,42094455.0,0.0,0.0
119901,74018.0,301495.0,677333.0,0.0,0.0
166907,66035.0,254241.0,571174.0,0.0,0.0
186901,53244.0,242817.0,545509.0,0.0,0.0
145901,216798.0,953321.0,2141716.0,0.0,0.0
212902,260570.0,1139773.0,2560595.0,0.0,0.0
121903,220460.0,1131363.0,2541701.0,0.0,0.0
243901,456447.0,1835004.0,4122490.0,0.0,0.0
176901,67809.0,327163.0,734999.0,0.0,0.0
126902,876346.0,3799610.0,8536141.0,499668.0,499668.0
27903,494914.0,2202534.0,4948177.0,0.0,0.0
71801,215592.0,1037567.0,2330982.0,0.0,0.0
239903,54272.0,242326.0,544405.0,0.0,0.0
188904,82338.0,362942.0,815380.0,27677.0,27677.0
109902,39549.0,134460.0,302075.0,0.0,0.0
116901,182994.0,710932.0,1597169.0,0.0,0.0
178903,514323.0,1777472.0,3993240.0,0.0,0.0
26901,359419.0,1543828.0,3468337.0,0.0,0.0
29901,804256.0,3343928.0,7512413.0,0.0,0.0
49905,122356.0,711126.0,1597604.0,0.0,0.0
198902,135376.0,554135.0,1244911.0,0.0,0.0
166901,447441.0,2346196.0,5270926.0,0.0,0.0
116910,69718.0,337094.0,757309.0,0.0,0.0
106901,97611.0,415355.0,933130.0,0.0,0.0
234902,163424.0,689902.0,1549922.0,0.0,0.0
71907,1392279.0,5606373.0,12595184.0,0.0,0.0
191901,636421.0,2853592.0,6410834.0,388832.0,388832.0
201913,127586.0,473465.0,1063678.0,0.0,0.0
64903,940485.0,3974714.0,8929527.0,0.0,0.0
220919,125737.0,480431.0,1079329.0,1387478.0,1387478.0
57903,4103489.0,17001794.0,38195949.0,0.0,0.0
183902,435356.0,2030855.0,4562485.0,0.0,0.0
220917,956267.0,3566105.0,8011553.0,0.0,0.0
1902,91765.0,423034.0,950380.0,0.0,0.0
57904,1264255.0,5418575.0,12173280.0,0.0,0.0
227817,138785.0,596838.0,1340846.0,0.0,0.0
116902,121046.0,411546.0,924572.0,0.0,0.0
43903,139166.0,485898.0,1091610.0,481454.0,481454.0
210901,644749.0,2795229.0,6279715.0,0.0,0.0
133901,228401.0,823316.0,1849647.0,0.0,0.0
228904,28762.0,151828.0,341095.0,0.0,0.0
145902,116454.0,738295.0,1658641.0,0.0,0.0
174908,177129.0,754908.0,1695964.0,0.0,0.0
3907,267206.0,1161308.0,2608976.0,0.0,0.0
101905,1781921.0,7940724.0,17839499.0,0.0,0.0
103901,39562.0,168732.0,379071.0,0.0,0.0
220815,116912.0,532998.0,1197424.0,0.0,0.0
212909,683676.0,3031791.0,6811171.0,0.0,0.0
225906,150073.0,704323.0,1582320.0,0.0,0.0
7901,155848.0,656027.0,1473819.0,0.0,0.0
206903,68218.0,259220.0,582359.0,0.0,0.0
229906,46815.0,170035.0,381999.0,0.0,0.0
249904,101606.0,429105.0,964020.0,0.0,0.0
38901,239069.0,994186.0,2233523.0,0.0,0.0
99902,62226.0,270146.0,606906.0,0.0,0.0
73901,151935.0,630572.0,1416633.0,0.0,0.0
161920,151191.0,668026.0,1500776.0,163108.0,163109.0
174901,113403.0,489139.0,1098892.0,0.0,0.0
139905,290001.0,1224269.0,2750423.0,0.0,0.0
226901,48261.0,191724.0,430724.0,0.0,0.0
67902,181977.0,815550.0,1832202.0,0.0,0.0
243906,182862.0,781108.0,1754823.0,0.0,0.0
57841,228700.0,1193452.0,2681190.0,0.0,0.0
65901,128495.0,484702.0,1088923.0,0.0,0.0
194904,278913.0,1069116.0,2401859.0,0.0,0.0
6902,37063.0,160315.0,360162.0,0.0,0.0
84910,3530336.0,16259299.0,36527873.0,0.0,0.0
126903,1202720.0,5188966.0,11657445.0,0.0,0.0
146901,1124679.0,5199247.0,11680543.0,0.0,0.0
18901,191210.0,908691.0,2041450.0,0.0,0.0
71901,3750580.0,15637100.0,35130051.0,0.0,0.0
30902,251126.0,1075235.0,2415604.0,0.0,0.0
114902,96740.0,476856.0,1071297.0,0.0,0.0
204901,316012.0,1742241.0,3914090.0,0.0,0.0
42901,251162.0,1130314.0,2539344.0,0.0,0.0
21901,1417900.0,5738206.0,12891359.0,0.0,0.0
