ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2018-19,County Number [District] 2018-19,Total Number Operational Schools [Public School] 2018-19,Total Number of Public Schools [Public School] 2018-19,State Agency ID [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2018-19,Full-Time Equivalent (FTE) Teachers [District] 2018-19,Total Staff [District] 2018-19,Locale [District] 2018-19
A W BROWN LEADERSHIP ACADEMY,Texas,4800095,Dallas County,48113,2,2,TX-057816,2084,115.60,218.40,11-City: Large
A+ ACADEMY,Texas,4800203,Dallas County,48113,2,2,TX-057829,1409,86.58,192.28,11-City: Large
A+ UNLIMITED POTENTIAL,TEXAS,4801453,Harris County,48201,2,2,TX-101871,180,7.67,10.34,11-City: Large
ABBOTT ISD,Texas,4807380,Hill County,48217,1,2,TX-109901,277,24.25,40.00,42-Rural: Distant
ABERNATHY ISD,Texas,4807410,Hale County,48189,3,4,TX-095901,780,68.00,124.97,31-Town: Fringe
ABILENE ISD,Texas,4807440,Taylor County,48441,30,31,TX-221901,16645,1090.71,2481.36,12-City: Mid-size
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,4800093,Dallas County,48113,5,5,TX-057814,505,54.96,93.57,11-City: Large
ACADEMY ISD,Texas,4807470,Bell County,48027,5,6,TX-014901,1652,113.60,214.33,41-Rural: Fringe
ACADEMY OF ACCELERATED LEARNING INC,Texas,4800032,Harris County,48201,1,1,TX-101810,742,40.41,66.59,11-City: Large
ACADEMY OF DALLAS,Texas,4800090,Dallas County,48113,1,1,TX-057810,487,27.08,57.34,11-City: Large
ACCELERATED INTERMEDIATE ACADEMY,Texas,4800192,Harris County,48201,2,4,TX-101849,248,19.00,24.00,11-City: Large
ADRIAN ISD,Texas,4807500,Oldham County,48359,1,1,TX-180903,117,18.15,30.97,43-Rural: Remote
ADVANTAGE ACADEMY,Texas,4800041,Dallas County,48113,1,1,TX-057806,1689,88.69,177.00,21-Suburb: Large
AGUA DULCE ISD,Texas,4807530,Nueces County,48355,2,2,TX-178901,346,32.95,56.00,42-Rural: Distant
ALAMO HEIGHTS ISD,Texas,4807590,Bexar County,48029,5,6,TX-015901,4864,344.53,602.95,21-Suburb: Large
ALBA-GOLDEN ISD,Texas,4807650,Wood County,48499,3,3,TX-250906,900,79.40,140.64,42-Rural: Distant
ALBANY ISD,Texas,4807680,Shackelford County,48417,2,2,TX-209901,495,44.85,83.41,43-Rural: Remote
ALDINE ISD,Texas,4807710,Harris County,48201,86,97,TX-101902,66854,4128.18,9075.37,21-Suburb: Large
ALEDO ISD,Texas,4807780,Parker County,48367,9,9,TX-184907,6129,354.71,655.06,41-Rural: Fringe
ALICE ISD,Texas,4807800,Jim Wells County,48249,9,10,TX-125901,4940,302.04,717.53,32-Town: Distant
ALIEF ISD,Texas,4807830,Harris County,48201,46,46,TX-101903,45436,3259.99,6350.39,11-City: Large
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,4800035,Harris County,48201,1,1,TX-101815,305,14.95,36.27,11-City: Large
ALLEN ISD,Texas,4807890,Collin County,48085,24,25,TX-043901,21557,1350.86,2469.23,21-Suburb: Large
ALPINE ISD,Texas,4807950,Brewster County,48043,3,3,TX-022901,1014,87.13,184.74,33-Town: Remote
ALTO ISD,Texas,4807980,Cherokee County,48073,3,3,TX-037901,664,58.27,101.22,42-Rural: Distant
ALVARADO ISD,Texas,4800011,Johnson County,48251,6,7,TX-126901,3635,228.93,446.09,41-Rural: Fringe
ALVIN ISD,Texas,4808090,Brazoria County,48039,30,34,TX-020901,25945,1700.43,3424.87,21-Suburb: Large
ALVORD ISD,Texas,4808100,Wise County,48497,3,3,TX-249901,727,57.44,111.68,42-Rural: Distant
AMARILLO ISD,Texas,4808130,Potter County,48375,56,56,TX-188901,32829,2193.75,4163.42,12-City: Mid-size
AMBASSADORS PREPARATORY ACADEMY,Texas,4800284,Galveston County,48167,1,1,TX-084804,323,20.67,45.84,31-Town: Fringe
AMHERST ISD,Texas,4808160,Lamb County,48279,1,2,TX-140901,142,18.99,30.94,42-Rural: Distant
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,Texas,4800113,Harris County,48201,1,1,TX-101819,494,24.88,50.96,11-City: Large
ANAHUAC ISD,Texas,4808190,Chambers County,48071,4,4,TX-036901,1325,95.71,186.96,42-Rural: Distant
ANDERSON-SHIRO CISD,Texas,4808230,Grimes County,48185,2,2,TX-093901,879,67.69,124.44,42-Rural: Distant
ANDREWS ISD,Texas,4808280,Andrews County,48003,6,6,TX-002901,4319,264.19,508.27,32-Town: Distant
ANGLETON ISD,Texas,4808310,Brazoria County,48039,11,11,TX-020902,6767,400.16,864.18,41-Rural: Fringe
ANNA ISD,Texas,4808340,Collin County,48085,5,7,TX-043902,3597,246.18,482.93,31-Town: Fringe
ANSON ISD,Texas,4808400,Jones County,48253,3,3,TX-127901,749,68.96,123.10,42-Rural: Distant
ANTHONY ISD,Texas,4808430,El Paso County,48141,3,5,TX-071906,843,57.82,127.46,21-Suburb: Large
ANTON ISD,Texas,4808460,Hockley County,48219,1,3,TX-110901,199,19.75,34.21,42-Rural: Distant
APPLE SPRINGS ISD,Texas,4808490,Trinity County,48455,2,2,TX-228905,202,18.42,35.60,42-Rural: Distant
AQUILLA ISD,Texas,4808520,Hill County,48217,1,2,TX-109912,335,25.87,49.84,42-Rural: Distant
ARANSAS COUNTY ISD,Texas,4808550,Aransas County,48007,5,5,TX-004901,2829,214.93,467.53,32-Town: Distant
ARANSAS PASS ISD,Texas,4808580,San Patricio County,48409,5,6,TX-205901,1556,113.56,263.43,31-Town: Fringe
ARCHER CITY ISD,Texas,4808610,Archer County,48009,2,2,TX-005901,505,44.94,88.18,42-Rural: Distant
ARGYLE ISD,Texas,4808670,Denton County,48121,4,6,TX-061910,3061,196.71,351.90,41-Rural: Fringe
ARISTOI CLASSICAL ACADEMY,Texas,4800019,Harris County,48201,2,2,TX-101803,911,60.88,96.97,21-Suburb: Large
ARLINGTON CLASSICS ACADEMY,Texas,4800158,Tarrant County,48439,3,3,TX-220802,1550,92.38,144.66,21-Suburb: Large
ARLINGTON ISD,Texas,4808700,Tarrant County,48439,79,79,TX-220901,59900,4100.64,8211.83,11-City: Large
ARP ISD,Texas,4808730,Smith County,48423,3,3,TX-212901,869,75.45,145.16,42-Rural: Distant
ARROW ACADEMY,Texas,4801416,Brazos County,48041,4,4,TX-021805,706,46.01,76.17,11-City: Large
ASPERMONT ISD,Texas,4800006,Stonewall County,48433,2,2,TX-217901,224,19.44,39.86,43-Rural: Remote
ATHENS ISD,Texas,4808870,Henderson County,48213,5,5,TX-107901,3011,193.45,395.04,32-Town: Distant
ATLANTA ISD,Texas,4808880,Cass County,48067,5,5,TX-034901,1725,132.55,311.58,41-Rural: Fringe
AUBREY ISD,Texas,4808910,Denton County,48121,5,5,TX-061907,2442,158.10,257.02,41-Rural: Fringe
AUSTIN ACHIEVE PUBLIC SCHOOLS,Texas,4801431,Travis County,48453,2,2,TX-227825,1556,97.83,180.45,11-City: Large
AUSTIN DISCOVERY SCHOOL,Texas,4800265,Travis County,48453,1,1,TX-227821,508,48.50,64.63,11-City: Large
AUSTIN ISD,Texas,4808940,Travis County,48453,130,133,TX-227901,80032,5539.62,11104.58,11-City: Large
AUSTWELL-TIVOLI ISD,Texas,4809000,Refugio County,48391,2,2,TX-196901,140,17.23,29.79,42-Rural: Distant
AVALON ISD,Texas,4809030,Ellis County,48139,1,1,TX-070901,362,32.26,58.30,42-Rural: Distant
AVERY ISD,Texas,4809060,Red River County,48387,2,2,TX-194902,340,32.30,62.42,43-Rural: Remote
AVINGER ISD,Texas,4809090,Cass County,48067,1,1,TX-034902,153,17.24,27.87,42-Rural: Distant
AXTELL ISD,Texas,4809150,McLennan County,48309,4,6,TX-161918,825,76.35,156.24,42-Rural: Distant
AZLE ISD,Texas,4809200,Tarrant County,48439,11,12,TX-220915,6578,414.76,857.18,21-Suburb: Large
BAIRD ISD,Texas,4809280,Callahan County,48059,3,3,TX-030903,283,34.39,58.59,42-Rural: Distant
BALLINGER ISD,Texas,4809300,Runnels County,48399,4,5,TX-200901,906,77.54,150.17,41-Rural: Fringe
BALMORHEA ISD,Texas,4809330,Reeves County,48389,1,1,TX-195902,186,19.54,39.58,43-Rural: Remote
