ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,County Number [Public School] 2017-18,County Name [Public School] 2017-18,School Type [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,State School ID [Public School] 2017-18,State Agency ID [Public School] 2017-18,Virtual School Status (SY 2016-17 onward) [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2017-18,Prekindergarten Students [Public School] 2017-18,Kindergarten Students [Public School] 2017-18,Grade 1 Students [Public School] 2017-18,Grade 2 Students [Public School] 2017-18,Grade 3 Students [Public School] 2017-18,Grade 4 Students [Public School] 2017-18,Grade 5 Students [Public School] 2017-18,Grade 6 Students [Public School] 2017-18,Grade 7 Students [Public School] 2017-18,Grade 8 Students [Public School] 2017-18,Grade 9 Students [Public School] 2017-18,Grade 10 Students [Public School] 2017-18,Grade 11 Students [Public School] 2017-18,Grade 12 Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,TEXAS,484496013299,48215,Hidalgo County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-108913-108913118,TX-108913,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),331,322,="0",322,†,†,331,†,†,†,†,†,†,†,†,†,†,†,†,†,159,172,1,="0",315,="0",15,="0",="0",331,14.09
3D ACADEMY,Texas,481739012205,48215,Hidalgo County,4-Alternative/other school,1-Yes,1-Yes,5-Title I schoolwide school,TX-108902-108902006,TX-108902,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),142,138,="0",138,†,142,†,†,†,†,†,†,†,†,†,†,12,30,42,58,90,52,="0",="0",141,="0",1,="0",="0",142,13.00
3RD H S,Texas,484653012331,48085,Collin County,1-Regular school,†,†,†,TX-043914-043914005,TX-043914,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",†
6TH GRADE CENTER,Texas,482172005738,48231,Hunt County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-116905-116905108,TX-116905,NOTVIRTUAL,Yes participating without using any Provision or the CEO,370,220,32,252,370,†,†,†,†,†,†,†,†,370,†,†,†,†,†,†,210,160,3,2,156,71,122,="0",16,370,26.57
7TH H S - NORTHEAST,Texas,483808012373,48491,Williamson County,1-Regular school,†,†,†,TX-246909-246909014,TX-246909,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",†
A & M CONS H S,Texas,480735000001,48041,Brazos County,1-Regular school,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,TX-021901-021901001,TX-021901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1713,498,92,590,†,1713,†,†,†,†,†,†,†,†,†,†,436,417,426,434,874,839,9,142,416,239,845,="0",62,1713,134.15
A & M CONSOLIDATED MIDDLE,Texas,480735008712,48041,Brazos County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-021901-021901042,TX-021901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,911,350,48,398,911,†,†,†,†,†,†,†,†,†,449,462,†,†,†,†,454,457,3,64,255,156,400,2,31,911,59.26
A B DUNCAN COLLEGIATE EL,Texas,481944001801,48153,Floyd County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-077901-077901101,TX-077901,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),461,366,1,367,351,†,55,55,68,57,59,63,50,54,†,†,†,†,†,†,246,215,="0",="0",379,17,63,="0",2,461,30.75
A B MCBAY EL,Texas,483042003424,48293,Limestone County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-147903-147903103,TX-147903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,463,353,17,370,265,†,62,136,125,140,†,†,†,†,†,†,†,†,†,†,240,223,2,4,200,115,129,="0",13,463,34.50
A C BLUNT MIDDLE,Texas,480858000225,48409,San Patricio County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-205901-205901041,TX-205901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,348,218,31,249,348,†,†,†,†,†,†,†,†,104,111,133,†,†,†,†,149,199,="0",2,216,8,120,="0",2,348,27.80
