Agency Name,State,NCES Agency ID,County Name,County #,Total Public Schools 2020-2021,Total Operational Public Schools 2020-2021,State Agency ID,Total Students 2020-2021,FTE Teachers 2020-2021,Total Staff 2020-2021,District #,% Operational Schools 2020-2021
A W BROWN LEADERSHIP ACADEMY,Texas,4800095.0,Dallas County,48113.0,2.0,2.0,TX-057816,1383.0,76.79,170.87,057816,1.0
A+ ACADEMY,Texas,4800203.0,Dallas County,48113.0,2.0,2.0,TX-057829,1456.0,92.87,213.39,057829,1.0
A+ UNLIMITED POTENTIAL,TEXAS,4801453.0,Harris County,48201.0,1.0,1.0,TX-101871,152.0,6.91,13.61,101871,1.0
ABBOTT ISD,Texas,4807380.0,Hill County,48217.0,2.0,1.0,TX-109901,274.0,25.13,41.72,109901,0.5
ABERNATHY ISD,Texas,4807410.0,Hale County,48189.0,4.0,3.0,TX-095901,810.0,72.55,124.29,095901,0.75
ABILENE ISD,Texas,4807440.0,Taylor County,48441.0,30.0,30.0,TX-221901,15680.0,1110.18,2543.38,221901,1.0
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,4800093.0,Dallas County,48113.0,4.0,4.0,TX-057814,308.0,56.0,95.0,057814,1.0
ACADEMY ISD,Texas,4807470.0,Bell County,48027.0,6.0,5.0,TX-014901,1726.0,125.91,250.28,014901,0.8333333333333334
ACADEMY OF ACCELERATED LEARNING INC,Texas,4800032.0,Harris County,48201.0,1.0,1.0,TX-101810,851.0,46.65,74.01,101810,1.0
ACADEMY OF DALLAS,Texas,4800090.0,Dallas County,48113.0,1.0,1.0,TX-057810,341.0,21.85,39.35,057810,1.0
ACCELERATED INTERMEDIATE ACADEMY,Texas,4800192.0,Harris County,48201.0,4.0,2.0,TX-101849,235.0,14.99,18.99,101849,0.5
ADRIAN ISD,Texas,4807500.0,Oldham County,48359.0,1.0,1.0,TX-180903,122.0,17.22,32.48,180903,1.0
ADVANTAGE ACADEMY,Texas,4800041.0,Dallas County,48113.0,1.0,1.0,TX-057806,1207.0,57.3,128.6,057806,1.0
AGUA DULCE ISD,Texas,4807530.0,Nueces County,48355.0,2.0,2.0,TX-178901,406.0,33.5,63.47,178901,1.0
ALAMO HEIGHTS ISD,Texas,4807590.0,Bexar County,48029.0,6.0,5.0,TX-015901,4846.0,354.58,630.33,015901,0.8333333333333334
ALBA-GOLDEN ISD,Texas,4807650.0,Wood County,48499.0,3.0,3.0,TX-250906,861.0,82.71,146.34,250906,1.0
ALBANY ISD,Texas,4807680.0,Shackelford County,48417.0,2.0,2.0,TX-209901,503.0,43.22,77.97,209901,1.0
ALDINE ISD,Texas,4807710.0,Harris County,48201.0,79.0,78.0,TX-101902,63302.0,4243.82,9204.84,101902,0.9873417721518988
ALEDO ISD,Texas,4807780.0,Parker County,48367.0,9.0,9.0,TX-184907,6723.0,407.3,719.74,184907,1.0
ALICE ISD,Texas,4807800.0,Jim Wells County,48249.0,10.0,10.0,TX-125901,4676.0,307.11,727.45,125901,1.0
ALIEF ISD,Texas,4807830.0,Harris County,48201.0,46.0,46.0,TX-101903,41724.0,3276.07,6461.03,101903,1.0
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,4800035.0,Harris County,48201.0,1.0,1.0,TX-101815,331.0,16.76,38.82,101815,1.0
ALLEN ISD,Texas,4807890.0,Collin County,48085.0,25.0,24.0,TX-043901,21617.0,1370.19,2560.63,043901,0.96
ALPINE ISD,Texas,4807950.0,Brewster County,48043.0,3.0,3.0,TX-022901,974.0,77.14,171.19,022901,1.0
ALTO ISD,Texas,4807980.0,Cherokee County,48073.0,3.0,3.0,TX-037901,609.0,57.76,104.11,037901,1.0
ALVARADO ISD,Texas,4800011.0,Johnson County,48251.0,7.0,7.0,TX-126901,3565.0,238.66,467.67,126901,1.0
ALVIN ISD,Texas,4808090.0,Brazoria County,48039.0,35.0,32.0,TX-020901,27006.0,1824.85,3555.68,020901,0.9142857142857143
ALVORD ISD,Texas,4808100.0,Wise County,48497.0,3.0,3.0,TX-249901,709.0,61.95,115.73,249901,1.0
AMARILLO ISD,Texas,4808130.0,Potter County,48375.0,56.0,56.0,TX-188901,31388.0,2213.46,4206.25,188901,1.0
AMBASSADORS PREPARATORY ACADEMY,Texas,4800284.0,Galveston County,48167.0,1.0,1.0,TX-084804,246.0,22.81,50.06,084804,1.0
AMHERST ISD,Texas,4808160.0,Lamb County,48279.0,1.0,1.0,TX-140901,133.0,19.0,32.11,140901,1.0
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,Texas,4800113.0,Harris County,48201.0,1.0,1.0,TX-101819,502.0,30.81,56.28,101819,1.0
ANAHUAC ISD,Texas,4808190.0,Chambers County,48071.0,3.0,3.0,TX-036901,1326.0,98.97,193.87,036901,1.0
ANDERSON-SHIRO CISD,Texas,4808230.0,Grimes County,48185.0,2.0,2.0,TX-093901,887.0,71.85,130.41,093901,1.0
ANDREWS ISD,Texas,4808280.0,Andrews County,48003.0,6.0,6.0,TX-002901,4128.0,287.18,559.88,002901,1.0
ANGLETON ISD,Texas,4808310.0,Brazoria County,48039.0,11.0,11.0,TX-020902,6863.0,440.01,983.72,020902,1.0
ANNA ISD,Texas,4808340.0,Collin County,48085.0,8.0,8.0,TX-043902,3979.0,282.3,574.71,043902,1.0
ANSON ISD,Texas,4808400.0,Jones County,48253.0,3.0,3.0,TX-127901,708.0,72.0,124.46,127901,1.0
ANTHONY ISD,Texas,4808430.0,El Paso County,48141.0,5.0,3.0,TX-071906,787.0,60.01,148.22,071906,0.6
ANTON ISD,Texas,4808460.0,Hockley County,48219.0,2.0,1.0,TX-110901,184.0,21.46,36.27,110901,0.5
APPLE SPRINGS ISD,Texas,4808490.0,Trinity County,48455.0,2.0,2.0,TX-228905,206.0,19.17,38.87,228905,1.0
AQUILLA ISD,Texas,4808520.0,Hill County,48217.0,2.0,2.0,TX-109912,319.0,27.72,49.27,109912,1.0
ARANSAS COUNTY ISD,Texas,4808550.0,Aransas County,48007.0,4.0,4.0,TX-004901,3010.0,217.46,452.82,004901,1.0
ARANSAS PASS ISD,Texas,4808580.0,San Patricio County,48409.0,5.0,5.0,TX-205901,1645.0,109.9,257.11,205901,1.0
ARCHER CITY ISD,Texas,4808610.0,Archer County,48009.0,2.0,2.0,TX-005901,502.0,47.85,93.02,005901,1.0
ARGYLE ISD,Texas,4808670.0,Denton County,48121.0,6.0,5.0,TX-061910,3795.0,258.87,444.1,061910,0.8333333333333334
ARISTOI CLASSICAL ACADEMY,Texas,4800019.0,Harris County,48201.0,3.0,3.0,TX-101803,1072.0,72.69,120.76,101803,1.0
ARLINGTON CLASSICS ACADEMY,Texas,4800158.0,Tarrant County,48439.0,3.0,3.0,TX-220802,1542.0,91.5,149.85,220802,1.0
ARLINGTON ISD,Texas,4808700.0,Tarrant County,48439.0,79.0,78.0,TX-220901,56840.0,4114.71,8169.15,220901,0.9873417721518988
ARP ISD,Texas,4808730.0,Smith County,48423.0,3.0,3.0,TX-212901,876.0,77.22,151.85,212901,1.0
ARROW ACADEMY,Texas,4801416.0,Brazos County,48041.0,4.0,4.0,TX-021805,691.0,44.04,75.21,021805,1.0
ASPERMONT ISD,Texas,4800006.0,Stonewall County,48433.0,2.0,2.0,TX-217901,213.0,20.22,39.99,217901,1.0
ATHENS ISD,Texas,4808870.0,Henderson County,48213.0,5.0,5.0,TX-107901,2982.0,194.16,418.13,107901,1.0
ATLANTA ISD,Texas,4808880.0,Cass County,48067.0,5.0,5.0,TX-034901,1848.0,132.59,329.71,034901,1.0
AUBREY ISD,Texas,4808910.0,Denton County,48121.0,6.0,5.0,TX-061907,2644.0,172.24,300.39,061907,0.8333333333333334
AUSTIN ACHIEVE PUBLIC SCHOOLS,Texas,4801431.0,Travis County,48453.0,3.0,3.0,TX-227825,2183.0,132.24,285.18,227825,1.0
AUSTIN DISCOVERY SCHOOL,Texas,4800265.0,Travis County,48453.0,1.0,1.0,TX-227821,433.0,42.77,56.62,227821,1.0
AUSTIN ISD,Texas,4808940.0,Travis County,48453.0,135.0,126.0,TX-227901,74871.0,5508.22,10945.22,227901,0.9333333333333333
AUSTWELL-TIVOLI ISD,Texas,4809000.0,Refugio County,48391.0,2.0,2.0,TX-196901,137.0,20.17,38.31,196901,1.0
AVALON ISD,Texas,4809030.0,Ellis County,48139.0,1.0,1.0,TX-070901,332.0,28.74,55.86,070901,1.0
AVERY ISD,Texas,4809060.0,Red River County,48387.0,2.0,2.0,TX-194902,322.0,33.49,67.93,194902,1.0
