ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,County Number [District] 2020-21,Total Number of Public Schools [Public School] 2020-21,Total Number Operational Schools [Public School] 2020-21,State Agency ID [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Staff [District] 2020-21
A W BROWN LEADERSHIP ACADEMY,Texas,4800095,Dallas County,48113,2,2,TX-057816,1383,76.79,170.87
A+ ACADEMY,Texas,4800203,Dallas County,48113,2,2,TX-057829,1456,92.87,213.39
A+ UNLIMITED POTENTIAL,TEXAS,4801453,Harris County,48201,1,1,TX-101871,152,6.91,13.61
ABBOTT ISD,Texas,4807380,Hill County,48217,2,1,TX-109901,274,25.13,41.72
ABERNATHY ISD,Texas,4807410,Hale County,48189,4,3,TX-095901,810,72.55,124.29
ABILENE ISD,Texas,4807440,Taylor County,48441,30,30,TX-221901,15680,1110.18,2543.38
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,4800093,Dallas County,48113,4,4,TX-057814,308,56.00,95.00
ACADEMY ISD,Texas,4807470,Bell County,48027,6,5,TX-014901,1726,125.91,250.28
ACADEMY OF ACCELERATED LEARNING INC,Texas,4800032,Harris County,48201,1,1,TX-101810,851,46.65,74.01
ACADEMY OF DALLAS,Texas,4800090,Dallas County,48113,1,1,TX-057810,341,21.85,39.35
ACCELERATED INTERMEDIATE ACADEMY,Texas,4800192,Harris County,48201,4,2,TX-101849,235,14.99,18.99
ADRIAN ISD,Texas,4807500,Oldham County,48359,1,1,TX-180903,122,17.22,32.48
ADVANTAGE ACADEMY,Texas,4800041,Dallas County,48113,1,1,TX-057806,1207,57.30,128.60
AGUA DULCE ISD,Texas,4807530,Nueces County,48355,2,2,TX-178901,406,33.50,63.47
ALAMO HEIGHTS ISD,Texas,4807590,Bexar County,48029,6,5,TX-015901,4846,354.58,630.33
ALBA-GOLDEN ISD,Texas,4807650,Wood County,48499,3,3,TX-250906,861,82.71,146.34
ALBANY ISD,Texas,4807680,Shackelford County,48417,2,2,TX-209901,503,43.22,77.97
ALDINE ISD,Texas,4807710,Harris County,48201,79,78,TX-101902,63302,4243.82,9204.84
ALEDO ISD,Texas,4807780,Parker County,48367,9,9,TX-184907,6723,407.30,719.74
ALICE ISD,Texas,4807800,Jim Wells County,48249,10,10,TX-125901,4676,307.11,727.45
ALIEF ISD,Texas,4807830,Harris County,48201,46,46,TX-101903,41724,3276.07,6461.03
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,4800035,Harris County,48201,1,1,TX-101815,331,16.76,38.82
ALLEN ISD,Texas,4807890,Collin County,48085,25,24,TX-043901,21617,1370.19,2560.63
ALPINE ISD,Texas,4807950,Brewster County,48043,3,3,TX-022901,974,77.14,171.19
ALTO ISD,Texas,4807980,Cherokee County,48073,3,3,TX-037901,609,57.76,104.11
ALVARADO ISD,Texas,4800011,Johnson County,48251,7,7,TX-126901,3565,238.66,467.67
ALVIN ISD,Texas,4808090,Brazoria County,48039,35,32,TX-020901,27006,1824.85,3555.68
ALVORD ISD,Texas,4808100,Wise County,48497,3,3,TX-249901,709,61.95,115.73
AMARILLO ISD,Texas,4808130,Potter County,48375,56,56,TX-188901,31388,2213.46,4206.25
AMBASSADORS PREPARATORY ACADEMY,Texas,4800284,Galveston County,48167,1,1,TX-084804,246,22.81,50.06
AMHERST ISD,Texas,4808160,Lamb County,48279,1,1,TX-140901,133,19.00,32.11
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,Texas,4800113,Harris County,48201,1,1,TX-101819,502,30.81,56.28
ANAHUAC ISD,Texas,4808190,Chambers County,48071,3,3,TX-036901,1326,98.97,193.87
ANDERSON-SHIRO CISD,Texas,4808230,Grimes County,48185,2,2,TX-093901,887,71.85,130.41
ANDREWS ISD,Texas,4808280,Andrews County,48003,6,6,TX-002901,4128,287.18,559.88
ANGLETON ISD,Texas,4808310,Brazoria County,48039,11,11,TX-020902,6863,440.01,983.72
ANNA ISD,Texas,4808340,Collin County,48085,8,8,TX-043902,3979,282.30,574.71
ANSON ISD,Texas,4808400,Jones County,48253,3,3,TX-127901,708,72.00,124.46
ANTHONY ISD,Texas,4808430,El Paso County,48141,5,3,TX-071906,787,60.01,148.22
ANTON ISD,Texas,4808460,Hockley County,48219,2,1,TX-110901,184,21.46,36.27
APPLE SPRINGS ISD,Texas,4808490,Trinity County,48455,2,2,TX-228905,206,19.17,38.87
AQUILLA ISD,Texas,4808520,Hill County,48217,2,2,TX-109912,319,27.72,49.27
ARANSAS COUNTY ISD,Texas,4808550,Aransas County,48007,4,4,TX-004901,3010,217.46,452.82
ARANSAS PASS ISD,Texas,4808580,San Patricio County,48409,5,5,TX-205901,1645,109.90,257.11
ARCHER CITY ISD,Texas,4808610,Archer County,48009,2,2,TX-005901,502,47.85,93.02
ARGYLE ISD,Texas,4808670,Denton County,48121,6,5,TX-061910,3795,258.87,444.10
ARISTOI CLASSICAL ACADEMY,Texas,4800019,Harris County,48201,3,3,TX-101803,1072,72.69,120.76
ARLINGTON CLASSICS ACADEMY,Texas,4800158,Tarrant County,48439,3,3,TX-220802,1542,91.50,149.85
ARLINGTON ISD,Texas,4808700,Tarrant County,48439,79,78,TX-220901,56840,4114.71,8169.15
ARP ISD,Texas,4808730,Smith County,48423,3,3,TX-212901,876,77.22,151.85
ARROW ACADEMY,Texas,4801416,Brazos County,48041,4,4,TX-021805,691,44.04,75.21
ASPERMONT ISD,Texas,4800006,Stonewall County,48433,2,2,TX-217901,213,20.22,39.99
ATHENS ISD,Texas,4808870,Henderson County,48213,5,5,TX-107901,2982,194.16,418.13
ATLANTA ISD,Texas,4808880,Cass County,48067,5,5,TX-034901,1848,132.59,329.71
AUBREY ISD,Texas,4808910,Denton County,48121,6,5,TX-061907,2644,172.24,300.39
AUSTIN ACHIEVE PUBLIC SCHOOLS,Texas,4801431,Travis County,48453,3,3,TX-227825,2183,132.24,285.18
AUSTIN DISCOVERY SCHOOL,Texas,4800265,Travis County,48453,1,1,TX-227821,433,42.77,56.62
AUSTIN ISD,Texas,4808940,Travis County,48453,135,126,TX-227901,74871,5508.22,10945.22
AUSTWELL-TIVOLI ISD,Texas,4809000,Refugio County,48391,2,2,TX-196901,137,20.17,38.31
AVALON ISD,Texas,4809030,Ellis County,48139,1,1,TX-070901,332,28.74,55.86
AVERY ISD,Texas,4809060,Red River County,48387,2,2,TX-194902,322,33.49,67.93
AVINGER ISD,Texas,4809090,Cass County,48067,1,1,TX-034902,140,17.65,28.38
AXTELL ISD,Texas,4809150,McLennan County,48309,6,4,TX-161918,772,75.50,143.22
AZLE ISD,Texas,4809200,Tarrant County,48439,13,12,TX-220915,6685,446.28,870.10
BAIRD ISD,Texas,4809280,Callahan County,48059,2,2,TX-030903,281,30.12,57.62
BALLINGER ISD,Texas,4809300,Runnels County,48399,5,5,TX-200901,854,79.18,157.42
BALMORHEA ISD,Texas,4809330,Reeves County,48389,1,1,TX-195902,155,19.12,38.88
BANDERA ISD,Texas,4809360,Bandera County,48019,4,4,TX-010902,2218,148.57,304.44
BANGS ISD,Texas,4809390,Brown County,48049,3,3,TX-025901,837,70.61,135.44
BANQUETE ISD,Texas,4809410,Nueces County,48355,4,3,TX-178913,855,81.47,140.44
BARBERS HILL ISD,Texas,4809450,Chambers County,48071,11,9,TX-036902,6424,477.19,969.85
BARTLETT ISD,Texas,4809540,Bell County,48027,3,1,TX-014902,380,32.34,63.18
BASIS TEXAS,Texas,4801438,Bexar County,48029,6,6,TX-015834,3048,192.83,235.00
BASTROP ISD,Texas,4809570,Bastrop County,48021,14,14,TX-011901,11405,735.75,1291.10
