District #,r_all_d_g3_2019,r_ethh_d_g3_2019,r_etha_d_g3_2019,r_ethb_d_g3_2019,r_ethw_d_g3_2019,r_ecoy_d_g3_2019,r_eco1_d_g3_2019,r_ti1y_d_g3_2019,r_spey_d_g3_2019,m_all_d_g3_2019,m_ethh_d_g3_2019,m_etha_d_g3_2019,m_ethb_d_g3_2019,m_ethw_d_g3_2019,m_ecoy_d_g3_2019,m_eco1_d_g3_2019,m_ti1y_d_g3_2019,m_spey_d_g3_2019,r_all_rs_g3_2019,r_ethh_rs_g3_2019,r_etha_rs_g3_2019,r_ethb_rs_g3_2019,r_ethw_rs_g3_2019,r_ecoy_rs_g3_2019,r_eco1_rs_g3_2019,r_ti1y_rs_g3_2019,r_spey_rs_g3_2019,m_all_rs_g3_2019,m_ethh_rs_g3_2019,m_etha_rs_g3_2019,m_ethb_rs_g3_2019,m_ethw_rs_g3_2019,m_ecoy_rs_g3_2019,m_eco1_rs_g3_2019,m_ti1y_rs_g3_2019,m_spey_rs_g3_2019,r_all_d_g4_2019,r_ethh_d_g4_2019,r_etha_d_g4_2019,r_ethb_d_g4_2019,r_ethw_d_g4_2019,r_ecoy_d_g4_2019,r_eco1_d_g4_2019,r_ti1y_d_g4_2019,r_spey_d_g4_2019,m_all_d_g4_2019,m_ethh_d_g4_2019,m_etha_d_g4_2019,m_ethb_d_g4_2019,m_ethw_d_g4_2019,m_ecoy_d_g4_2019,m_eco1_d_g4_2019,m_ti1y_d_g4_2019,m_spey_d_g4_2019,r_all_rs_g4_2019,r_ethh_rs_g4_2019,r_etha_rs_g4_2019,r_ethb_rs_g4_2019,r_ethw_rs_g4_2019,r_ecoy_rs_g4_2019,r_eco1_rs_g4_2019,r_ti1y_rs_g4_2019,r_spey_rs_g4_2019,m_all_rs_g4_2019,m_ethh_rs_g4_2019,m_etha_rs_g4_2019,m_ethb_rs_g4_2019,m_ethw_rs_g4_2019,m_ecoy_rs_g4_2019,m_eco1_rs_g4_2019,m_ti1y_rs_g4_2019,m_spey_rs_g4_2019,r_all_d_g5_2019,r_ethh_d_g5_2019,r_etha_d_g5_2019,r_ethb_d_g5_2019,r_ethw_d_g5_2019,r_ecoy_d_g5_2019,r_eco1_d_g5_2019,r_ti1y_d_g5_2019,r_spey_d_g5_2019,m_all_d_g5_2019,m_ethh_d_g5_2019,m_etha_d_g5_2019,m_ethb_d_g5_2019,m_ethw_d_g5_2019,m_ecoy_d_g5_2019,m_eco1_d_g5_2019,m_ti1y_d_g5_2019,m_spey_d_g5_2019,r_all_rs_g5_2019,r_ethh_rs_g5_2019,r_etha_rs_g5_2019,r_ethb_rs_g5_2019,r_ethw_rs_g5_2019,r_ecoy_rs_g5_2019,r_eco1_rs_g5_2019,r_ti1y_rs_g5_2019,r_spey_rs_g5_2019,m_all_rs_g5_2019,m_ethh_rs_g5_2019,m_etha_rs_g5_2019,m_ethb_rs_g5_2019,m_ethw_rs_g5_2019,m_ecoy_rs_g5_2019,m_eco1_rs_g5_2019,m_ti1y_rs_g5_2019,m_spey_rs_g5_2019,r_all_d_g6_2019,r_ethh_d_g6_2019,r_etha_d_g6_2019,r_ethb_d_g6_2019,r_ethw_d_g6_2019,r_ecoy_d_g6_2019,r_eco1_d_g6_2019,r_ti1y_d_g6_2019,r_spey_d_g6_2019,m_all_d_g6_2019,m_ethh_d_g6_2019,m_etha_d_g6_2019,m_ethb_d_g6_2019,m_ethw_d_g6_2019,m_ecoy_d_g6_2019,m_eco1_d_g6_2019,m_ti1y_d_g6_2019,m_spey_d_g6_2019,r_all_rs_g6_2019,r_ethh_rs_g6_2019,r_etha_rs_g6_2019,r_ethb_rs_g6_2019,r_ethw_rs_g6_2019,r_ecoy_rs_g6_2019,r_eco1_rs_g6_2019,r_ti1y_rs_g6_2019,r_spey_rs_g6_2019,m_all_rs_g6_2019,m_ethh_rs_g6_2019,m_etha_rs_g6_2019,m_ethb_rs_g6_2019,m_ethw_rs_g6_2019,m_ecoy_rs_g6_2019,m_eco1_rs_g6_2019,m_ti1y_rs_g6_2019,m_spey_rs_g6_2019,r_all_d_g7_2019,r_ethh_d_g7_2019,r_etha_d_g7_2019,r_ethb_d_g7_2019,r_ethw_d_g7_2019,r_ecoy_d_g7_2019,r_eco1_d_g7_2019,r_ti1y_d_g7_2019,r_spey_d_g7_2019,m_all_d_g7_2019,m_ethh_d_g7_2019,m_etha_d_g7_2019,m_ethb_d_g7_2019,m_ethw_d_g7_2019,m_ecoy_d_g7_2019,m_eco1_d_g7_2019,m_ti1y_d_g7_2019,m_spey_d_g7_2019,r_all_rs_g7_2019,r_ethh_rs_g7_2019,r_etha_rs_g7_2019,r_ethb_rs_g7_2019,r_ethw_rs_g7_2019,r_ecoy_rs_g7_2019,r_eco1_rs_g7_2019,r_ti1y_rs_g7_2019,r_spey_rs_g7_2019,m_all_rs_g7_2019,m_ethh_rs_g7_2019,m_etha_rs_g7_2019,m_ethb_rs_g7_2019,m_ethw_rs_g7_2019,m_ecoy_rs_g7_2019,m_eco1_rs_g7_2019,m_ti1y_rs_g7_2019,m_spey_rs_g7_2019,r_all_d_g8_2019,r_ethh_d_g8_2019,r_etha_d_g8_2019,r_ethb_d_g8_2019,r_ethw_d_g8_2019,r_ecoy_d_g8_2019,r_eco1_d_g8_2019,r_ti1y_d_g8_2019,r_spey_d_g8_2019,m_all_d_g8_2019,m_ethh_d_g8_2019,m_etha_d_g8_2019,m_ethb_d_g8_2019,m_ethw_d_g8_2019,m_ecoy_d_g8_2019,m_eco1_d_g8_2019,m_ti1y_d_g8_2019,m_spey_d_g8_2019,r_all_rs_g8_2019,r_ethh_rs_g8_2019,r_etha_rs_g8_2019,r_ethb_rs_g8_2019,r_ethw_rs_g8_2019,r_ecoy_rs_g8_2019,r_eco1_rs_g8_2019,r_ti1y_rs_g8_2019,r_spey_rs_g8_2019,m_all_rs_g8_2019,m_ethh_rs_g8_2019,m_etha_rs_g8_2019,m_ethb_rs_g8_2019,m_ethw_rs_g8_2019,m_ecoy_rs_g8_2019,m_eco1_rs_g8_2019,m_ti1y_rs_g8_2019,m_spey_rs_g8_2019
1902,46.0,3.0,0.0,3.0,38.0,23.0,17.0,46.0,7.0,46.0,3.0,0.0,3.0,38.0,23.0,17.0,46.0,7.0,1480.0,,,,1475.0,1442.0,1441.0,1480.0,1345.0,1596.0,,,,1595.0,1506.0,1495.0,1596.0,1351.0,50.0,2.0,1.0,1.0,43.0,21.0,15.0,50.0,6.0,50.0,2.0,1.0,1.0,43.0,21.0,15.0,50.0,6.0,1560.0,,,,1562.0,1530.0,1518.0,1560.0,1384.0,1583.0,,,,1590.0,1578.0,1586.0,1583.0,1413.0,48.0,0.0,0.0,1.0,46.0,23.0,15.0,48.0,8.0,48.0,0.0,0.0,1.0,46.0,23.0,15.0,48.0,8.0,1590.0,,,,1589.0,1610.0,1591.0,1590.0,1517.0,1729.0,,,,1732.0,1714.0,1684.0,1729.0,1570.0,35.0,4.0,0.0,1.0,28.0,13.0,12.0,35.0,2.0,35.0,4.0,0.0,1.0,28.0,13.0,12.0,35.0,2.0,1608.0,,,,1622.0,1554.0,1557.0,1608.0,,1670.0,,,,1681.0,1653.0,1662.0,1670.0,,39.0,6.0,0.0,1.0,32.0,15.0,11.0,39.0,5.0,39.0,6.0,0.0,1.0,32.0,15.0,11.0,39.0,5.0,1660.0,1603.0,,,1681.0,1590.0,1560.0,1660.0,1404.0,1708.0,1649.0,,,1725.0,1667.0,1616.0,1708.0,1506.0,41.0,3.0,1.0,0.0,34.0,13.0,8.0,41.0,4.0,41.0,3.0,1.0,0.0,34.0,13.0,8.0,41.0,4.0,1731.0,,,,1736.0,1708.0,1676.0,1731.0,,1744.0,,,,1742.0,1720.0,1682.0,1744.0,
1903,94.0,10.0,0.0,5.0,76.0,55.0,52.0,94.0,6.0,94.0,10.0,0.0,5.0,76.0,55.0,52.0,94.0,6.0,1426.0,1430.0,,1345.0,1432.0,1401.0,1396.0,1426.0,1304.0,1446.0,1431.0,,1335.0,1458.0,1407.0,1405.0,1446.0,1281.0,97.0,16.0,0.0,3.0,75.0,54.0,49.0,97.0,8.0,97.0,16.0,0.0,3.0,75.0,54.0,49.0,97.0,8.0,1584.0,1580.0,,,1587.0,1526.0,1525.0,1584.0,1453.0,1649.0,1658.0,,,1653.0,1602.0,1595.0,1649.0,1558.0,83.0,9.0,0.0,2.0,69.0,40.0,34.0,83.0,10.0,83.0,9.0,0.0,2.0,69.0,40.0,34.0,83.0,10.0,1615.0,1649.0,,,1619.0,1604.0,1604.0,1615.0,1519.0,1715.0,1751.0,,,1711.0,1688.0,1677.0,1715.0,1658.0,77.0,10.0,0.0,4.0,57.0,46.0,40.0,77.0,11.0,77.0,10.0,0.0,4.0,57.0,46.0,40.0,77.0,11.0,1603.0,1625.0,,,1615.0,1562.0,1558.0,1603.0,1484.0,1650.0,1706.0,,,1660.0,1607.0,1604.0,1650.0,1537.0,93.0,14.0,0.0,5.0,73.0,51.0,42.0,93.0,7.0,93.0,14.0,0.0,5.0,73.0,51.0,42.0,93.0,7.0,1671.0,1615.0,,1542.0,1690.0,1635.0,1605.0,1671.0,1530.0,1714.0,1676.0,,1588.0,1729.0,1691.0,1644.0,1714.0,1552.0,94.0,12.0,1.0,6.0,72.0,50.0,45.0,94.0,8.0,80.0,8.0,0.0,6.0,64.0,46.0,41.0,80.0,8.0,1699.0,1767.0,,1633.0,1694.0,1668.0,1664.0,1699.0,1623.0,1678.0,1748.0,,1624.0,1676.0,1658.0,1653.0,1678.0,1576.0
1904,55.0,5.0,1.0,6.0,40.0,34.0,34.0,55.0,5.0,55.0,5.0,1.0,6.0,40.0,34.0,34.0,55.0,5.0,1436.0,1373.0,,1353.0,1461.0,1407.0,1407.0,1436.0,1266.0,1456.0,1447.0,,1372.0,1473.0,1426.0,1426.0,1456.0,1278.0,78.0,4.0,1.0,5.0,59.0,42.0,38.0,78.0,7.0,78.0,4.0,1.0,5.0,59.0,42.0,38.0,78.0,7.0,1500.0,,,1548.0,1497.0,1492.0,1499.0,1500.0,1385.0,1543.0,,,1503.0,1552.0,1511.0,1516.0,1543.0,1376.0,59.0,7.0,1.0,5.0,41.0,30.0,27.0,59.0,5.0,60.0,7.0,1.0,5.0,42.0,31.0,28.0,60.0,5.0,1620.0,1620.0,,1559.0,1633.0,1597.0,1584.0,1620.0,1329.0,1678.0,1800.0,,1565.0,1688.0,1674.0,1654.0,1678.0,1374.0,54.0,5.0,0.0,4.0,41.0,34.0,30.0,54.0,9.0,54.0,5.0,0.0,4.0,41.0,34.0,30.0,54.0,9.0,1577.0,1642.0,,,1573.0,1568.0,1565.0,1577.0,1408.0,1726.0,1732.0,,,1737.0,1703.0,1694.0,1726.0,1534.0,57.0,4.0,0.0,9.0,42.0,32.0,27.0,57.0,5.0,57.0,4.0,0.0,9.0,42.0,32.0,27.0,57.0,5.0,1651.0,,,1566.0,1666.0,1614.0,1599.0,1651.0,1475.0,1662.0,,,1526.0,1689.0,1615.0,1616.0,1662.0,1541.0,70.0,4.0,0.0,8.0,55.0,28.0,24.0,70.0,11.0,42.0,3.0,0.0,7.0,29.0,23.0,21.0,42.0,11.0,1690.0,,,1566.0,1717.0,1635.0,1620.0,1690.0,1563.0,1686.0,,,1608.0,1709.0,1654.0,1643.0,1686.0,1608.0
1906,25.0,5.0,0.0,2.0,16.0,10.0,10.0,25.0,2.0,25.0,5.0,0.0,2.0,16.0,10.0,10.0,25.0,2.0,1450.0,1381.0,,,1491.0,1374.0,1374.0,1450.0,,1432.0,1386.0,,,1473.0,1369.0,1369.0,1432.0,,25.0,7.0,0.0,1.0,16.0,16.0,12.0,25.0,1.0,25.0,7.0,0.0,1.0,16.0,16.0,12.0,25.0,1.0,1494.0,1516.0,,,1490.0,1498.0,1483.0,1494.0,,1560.0,1563.0,,,1558.0,1565.0,1566.0,1560.0,,24.0,3.0,0.0,1.0,19.0,7.0,5.0,24.0,1.0,24.0,3.0,0.0,1.0,19.0,7.0,5.0,24.0,1.0,1627.0,,,,1616.0,1568.0,1561.0,1627.0,,1698.0,,,,1689.0,1618.0,1619.0,1698.0,,28.0,5.0,0.0,2.0,21.0,12.0,9.0,28.0,1.0,28.0,5.0,0.0,2.0,21.0,12.0,9.0,28.0,1.0,1601.0,1501.0,,,1620.0,1579.0,1582.0,1601.0,,1725.0,1666.0,,,1721.0,1733.0,1727.0,1725.0,,26.0,4.0,0.0,3.0,19.0,11.0,6.0,26.0,4.0,26.0,4.0,0.0,3.0,19.0,11.0,6.0,26.0,4.0,1661.0,,,,1677.0,1633.0,1620.0,1661.0,,1711.0,,,,1728.0,1685.0,1705.0,1711.0,,30.0,3.0,0.0,1.0,25.0,13.0,9.0,30.0,2.0,29.0,3.0,0.0,1.0,24.0,13.0,9.0,29.0,2.0,1691.0,,,,1693.0,1700.0,1668.0,1691.0,,1755.0,,,,1759.0,1745.0,1740.0,1755.0,
1907,206.0,76.0,2.0,58.0,60.0,157.0,148.0,206.0,20.0,220.0,90.0,2.0,58.0,60.0,171.0,161.0,220.0,20.0,1431.0,1427.0,,1398.0,1472.0,1412.0,1408.0,1431.0,1337.0,1469.0,1480.0,,1434.0,1494.0,1453.0,1452.0,1469.0,1344.0,249.0,106.0,1.0,79.0,55.0,192.0,169.0,249.0,23.0,249.0,106.0,1.0,79.0,55.0,192.0,169.0,249.0,23.0,1457.0,1458.0,,1411.0,1513.0,1447.0,1438.0,1457.0,1333.0,1525.0,1536.0,,1468.0,1582.0,1516.0,1510.0,1525.0,1395.0,243.0,102.0,1.0,53.0,74.0,177.0,160.0,243.0,28.0,243.0,102.0,1.0,53.0,74.0,177.0,160.0,243.0,28.0,1531.0,1514.0,,1529.0,1554.0,1513.0,1510.0,1531.0,1418.0,1605.0,1605.0,,1566.0,1629.0,1587.0,1588.0,1605.0,1493.0,249.0,118.0,3.0,62.0,59.0,199.0,177.0,249.0,26.0,250.0,118.0,3.0,62.0,60.0,200.0,178.0,250.0,26.0,1553.0,1556.0,,1526.0,1573.0,1540.0,1537.0,1553.0,1399.0,1661.0,1690.0,,1609.0,1654.0,1645.0,1636.0,1661.0,1481.0,245.0,99.0,2.0,63.0,68.0,175.0,152.0,245.0,27.0,245.0,99.0,2.0,63.0,68.0,175.0,152.0,245.0,27.0,1642.0,1631.0,,1609.0,1686.0,1620.0,1615.0,1642.0,1491.0,1670.0,1671.0,,1627.0,1709.0,1652.0,1650.0,1670.0,1534.0,253.0,122.0,0.0,57.0,68.0,190.0,177.0,253.0,27.0,254.0,122.0,0.0,58.0,68.0,191.0,178.0,254.0,27.0,1656.0,1657.0,,1623.0,1683.0,1629.0,1624.0,1656.0,1529.0,1722.0,1740.0,,1667.0,1741.0,1693.0,1687.0,1722.0,1601.0
1908,106.0,28.0,1.0,16.0,58.0,85.0,72.0,106.0,9.0,106.0,28.0,1.0,16.0,58.0,85.0,72.0,106.0,9.0,1378.0,1342.0,,1328.0,1408.0,1369.0,1360.0,1378.0,1272.0,1373.0,1330.0,,1318.0,1407.0,1369.0,1356.0,1373.0,1279.0,117.0,29.0,1.0,23.0,60.0,82.0,73.0,117.0,17.0,118.0,30.0,1.0,23.0,60.0,83.0,74.0,118.0,17.0,1467.0,1427.0,,1428.0,1494.0,1442.0,1433.0,1467.0,1363.0,1543.0,1525.0,,1510.0,1550.0,1522.0,1518.0,1543.0,1407.0,124.0,32.0,1.0,21.0,66.0,80.0,76.0,124.0,13.0,125.0,32.0,1.0,21.0,67.0,81.0,77.0,125.0,13.0,1513.0,1506.0,,1490.0,1524.0,1493.0,1493.0,1513.0,1360.0,1558.0,1564.0,,1514.0,1570.0,1539.0,1543.0,1558.0,1408.0,93.0,18.0,0.0,16.0,51.0,57.0,53.0,93.0,10.0,93.0,18.0,0.0,16.0,51.0,57.0,53.0,93.0,10.0,1545.0,1502.0,,1538.0,1555.0,1514.0,1512.0,1545.0,1402.0,1584.0,1553.0,,1569.0,1592.0,1562.0,1562.0,1584.0,1483.0,121.0,40.0,0.0,23.0,50.0,81.0,77.0,1.0,17.0,89.0,29.0,0.0,18.0,34.0,65.0,63.0,1.0,16.0,1597.0,1612.0,,1561.0,1619.0,1578.0,1575.0,,1482.0,1593.0,1598.0,,1561.0,1617.0,1584.0,1586.0,,1525.0,113.0,31.0,1.0,25.0,50.0,64.0,52.0,3.0,11.0,111.0,31.0,0.0,25.0,49.0,63.0,56.0,3.0,12.0,1645.0,1637.0,,1632.0,1662.0,1635.0,1620.0,,1512.0,1689.0,1695.0,,1655.0,1708.0,1683.0,1683.0,,1592.0
1909,27.0,4.0,1.0,2.0,19.0,19.0,16.0,27.0,3.0,27.0,4.0,1.0,2.0,19.0,19.0,16.0,27.0,3.0,1455.0,,,,1455.0,1446.0,1467.0,1455.0,,1467.0,,,,1469.0,1468.0,1488.0,1467.0,,26.0,1.0,0.0,1.0,24.0,12.0,10.0,26.0,2.0,26.0,1.0,0.0,1.0,24.0,12.0,10.0,26.0,2.0,1569.0,,,,1569.0,1556.0,1546.0,1569.0,,1519.0,,,,1511.0,1522.0,1524.0,1519.0,,23.0,4.0,0.0,1.0,18.0,10.0,10.0,23.0,3.0,23.0,4.0,0.0,1.0,18.0,10.0,10.0,23.0,3.0,1624.0,,,,1594.0,1596.0,1596.0,1624.0,,1633.0,,,,1585.0,1585.0,1585.0,1633.0,,34.0,3.0,0.0,0.0,29.0,15.0,12.0,34.0,5.0,34.0,3.0,0.0,0.0,29.0,15.0,12.0,34.0,5.0,1596.0,,,,1584.0,1605.0,1603.0,1596.0,1462.0,1661.0,,,,1659.0,1689.0,1717.0,1661.0,1549.0,25.0,2.0,0.0,1.0,20.0,10.0,7.0,25.0,4.0,25.0,2.0,0.0,1.0,20.0,10.0,7.0,25.0,4.0,1710.0,,,,1707.0,1684.0,1655.0,1710.0,,1682.0,,,,1679.0,1666.0,1667.0,1682.0,,31.0,0.0,0.0,1.0,28.0,11.0,9.0,31.0,1.0,31.0,0.0,0.0,1.0,28.0,11.0,9.0,31.0,1.0,1762.0,,,,1764.0,1743.0,1730.0,1762.0,,1763.0,,,,1757.0,1741.0,1713.0,1763.0,
2901,277.0,176.0,1.0,1.0,92.0,111.0,104.0,277.0,23.0,281.0,180.0,1.0,1.0,92.0,115.0,106.0,281.0,23.0,1462.0,1457.0,,,1465.0,1451.0,1447.0,1462.0,1383.0,1489.0,1467.0,,,1527.0,1456.0,1454.0,1489.0,1360.0,319.0,206.0,1.0,1.0,105.0,134.0,118.0,319.0,26.0,323.0,210.0,1.0,1.0,105.0,137.0,121.0,323.0,26.0,1498.0,1482.0,,,1523.0,1454.0,1443.0,1498.0,1442.0,1560.0,1537.0,,,1598.0,1515.0,1504.0,1560.0,1505.0,317.0,204.0,2.0,5.0,97.0,116.0,105.0,317.0,22.0,317.0,204.0,2.0,5.0,97.0,117.0,106.0,317.0,22.0,1563.0,1543.0,,1428.0,1611.0,1498.0,1500.0,1563.0,1407.0,1588.0,1573.0,,1437.0,1624.0,1517.0,1519.0,1588.0,1460.0,373.0,250.0,1.0,3.0,109.0,158.0,145.0,372.0,34.0,373.0,250.0,1.0,3.0,109.0,158.0,145.0,372.0,34.0,1538.0,1520.0,,,1574.0,1508.0,1509.0,1537.0,1420.0,1594.0,1574.0,,,1635.0,1567.0,1566.0,1594.0,1492.0,310.0,203.0,0.0,4.0,94.0,128.0,117.0,309.0,32.0,311.0,204.0,0.0,4.0,94.0,129.0,118.0,310.0,32.0,1622.0,1599.0,,,1665.0,1577.0,1575.0,1623.0,1473.0,1672.0,1658.0,,,1693.0,1631.0,1630.0,1672.0,1536.0,343.0,226.0,0.0,4.0,102.0,116.0,107.0,343.0,33.0,341.0,225.0,0.0,4.0,101.0,116.0,107.0,341.0,33.0,1669.0,1650.0,,,1708.0,1619.0,1614.0,1669.0,1505.0,1739.0,1726.0,,,1765.0,1690.0,1688.0,1739.0,1597.0
3801,80.0,26.0,1.0,9.0,38.0,50.0,42.0,80.0,4.0,80.0,26.0,1.0,9.0,38.0,50.0,42.0,80.0,4.0,1467.0,1427.0,,1434.0,1526.0,1433.0,1415.0,1467.0,,1503.0,1494.0,,1460.0,1546.0,1486.0,1477.0,1503.0,,87.0,20.0,1.0,14.0,51.0,43.0,38.0,87.0,7.0,87.0,20.0,1.0,14.0,51.0,43.0,38.0,87.0,7.0,1570.0,1520.0,,1501.0,1602.0,1525.0,1522.0,1570.0,1523.0,1643.0,1591.0,,1537.0,1688.0,1576.0,1583.0,1643.0,1535.0,83.0,21.0,0.0,17.0,40.0,43.0,34.0,83.0,7.0,82.0,21.0,0.0,17.0,39.0,42.0,33.0,82.0,7.0,1633.0,1593.0,,1605.0,1661.0,1586.0,1563.0,1633.0,1462.0,1696.0,1681.0,,1661.0,1726.0,1657.0,1631.0,1696.0,1557.0,87.0,26.0,0.0,12.0,45.0,51.0,47.0,86.0,10.0,86.0,27.0,0.0,12.0,43.0,49.0,45.0,85.0,10.0,1580.0,1523.0,,1519.0,1631.0,1551.0,1551.0,1582.0,1445.0,1621.0,1615.0,,1566.0,1639.0,1600.0,1599.0,1624.0,1535.0,76.0,27.0,0.0,15.0,33.0,36.0,33.0,76.0,8.0,75.0,27.0,0.0,14.0,33.0,35.0,32.0,75.0,8.0,1688.0,1671.0,,1672.0,1714.0,1659.0,1653.0,1688.0,1537.0,1653.0,1645.0,,1633.0,1673.0,1656.0,1637.0,1653.0,1538.0,84.0,21.0,0.0,13.0,48.0,46.0,37.0,84.0,11.0,84.0,21.0,0.0,13.0,48.0,46.0,37.0,84.0,11.0,1716.0,1647.0,,1707.0,1747.0,1687.0,1686.0,1716.0,1596.0,1693.0,1664.0,,1666.0,1708.0,1671.0,1664.0,1693.0,1550.0
3902,193.0,50.0,3.0,12.0,121.0,103.0,98.0,192.0,12.0,193.0,50.0,3.0,12.0,121.0,103.0,98.0,192.0,12.0,1451.0,1398.0,,1440.0,1472.0,1415.0,1417.0,1453.0,1334.0,1499.0,1446.0,,1463.0,1525.0,1464.0,1460.0,1500.0,1411.0,231.0,56.0,2.0,16.0,143.0,135.0,120.0,230.0,22.0,231.0,56.0,2.0,16.0,143.0,135.0,120.0,230.0,22.0,1520.0,1501.0,,1425.0,1541.0,1464.0,1454.0,1521.0,1402.0,1576.0,1565.0,,1463.0,1594.0,1527.0,1518.0,1577.0,1500.0,209.0,56.0,3.0,19.0,128.0,118.0,108.0,207.0,13.0,210.0,56.0,3.0,19.0,128.0,119.0,108.0,208.0,13.0,1590.0,1561.0,,1502.0,1614.0,1563.0,1559.0,1591.0,1420.0,1745.0,1749.0,,1633.0,1759.0,1715.0,1710.0,1747.0,1582.0,245.0,68.0,2.0,15.0,155.0,123.0,111.0,244.0,20.0,245.0,68.0,2.0,15.0,155.0,123.0,111.0,244.0,20.0,1613.0,1588.0,,1570.0,1625.0,1570.0,1560.0,1612.0,1522.0,1724.0,1715.0,,1645.0,1736.0,1663.0,1655.0,1724.0,1589.0,216.0,64.0,0.0,13.0,134.0,116.0,102.0,216.0,19.0,216.0,64.0,0.0,13.0,134.0,116.0,102.0,216.0,19.0,1684.0,1645.0,,1609.0,1711.0,1635.0,1629.0,1684.0,1538.0,1752.0,1729.0,,1655.0,1771.0,1703.0,1690.0,1752.0,1568.0,225.0,76.0,2.0,10.0,134.0,120.0,97.0,225.0,13.0,174.0,60.0,1.0,10.0,101.0,107.0,90.0,174.0,13.0,1744.0,1720.0,,1683.0,1760.0,1697.0,1692.0,1744.0,1574.0,1780.0,1758.0,,1725.0,1800.0,1757.0,1753.0,1780.0,1601.0
