Variable,Format_Type,Description
district,Character,District Number
dname,Character,District Name
m_all_approgl_nm,Numeric,# Approaches Grade Level Performance -- Mathematics -- All Students
m_all_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- All Students
m_all_d,Numeric,# Tested -- Mathematics -- All Students
m_all_mastrgl_nm,Numeric,# Masters Grade Level Performance -- Mathematics -- All Students
m_all_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- All Students
m_all_meetsgl_nm,Numeric,# Meets Grade Level Performance -- Mathematics -- All Students
m_all_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- All Students
m_all_unsatgl_nm,Numeric,# Did Not Meet Grade Level Performance -- Mathematics -- All Students
m_all_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- All Students
m_eco1_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Free Meals Students
m_eco1_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Free Meals Students
m_eco1_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Free Meals Students
m_eco1_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Free Meals Students
m_eco2_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Reduced-Price Meals Students
m_eco2_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Reduced-Price Meals Students
m_eco2_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Reduced-Price Meals Students
m_eco2_rs,Numeric,Average Scale Score -- Mathematics -- Reduced-Price Meals Students
m_eco2_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Reduced-Price Meals Students
m_econ_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Not Econ Disadv Students
m_econ_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Not Econ Disadv Students
m_econ_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Not Econ Disadv Students
m_econ_rs,Numeric,Average Scale Score -- Mathematics -- Not Econ Disadv Students
m_econ_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Not Econ Disadv Students
m_ecoy_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Econ Disadv Students Codes: 1 2 9
m_ecoy_d,Numeric,# Tested -- Mathematics -- Econ Disadv Students Codes: 1 2 9
m_ecoy_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Econ Disadv Students Codes: 1 2 9
m_ecoy_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Econ Disadv Students Codes: 1 2 9
m_ecoy_rs,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9
m_ecoy_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Econ Disadv Students Codes: 1 2 9
m_eth2_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Two or More Races Students
m_eth2_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Two or More Races Students
m_eth2_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Two or More Races Students
m_eth2_rs,Numeric,Average Scale Score -- Mathematics -- Two or More Races Students
m_eth2_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Two or More Races Students
m_etha_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Asian Students
m_etha_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Asian Students
m_etha_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Asian Students
m_etha_rs,Numeric,Average Scale Score -- Mathematics -- Asian Students
m_etha_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Asian Students
m_ethb_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Black or African American Students
m_ethb_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Black or African American Students
m_ethb_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Black or African American Students
m_ethb_rs,Numeric,Average Scale Score -- Mathematics -- Black or African American Students
m_ethb_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Black or African American Students
m_ethh_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Hispanic/Latino Students
m_ethh_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Hispanic/Latino Students
m_ethh_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Hispanic/Latino Students
