model,n Selected,type,Counts,Method,Train Accuracy,Test Accuracy,MCC,F1,features,index
Lasso,90,by counts,1,,0.6465968586387435,0.6335078534031413,0.3543739460140802,0.5825977904796383,"['% On Campus 10/30/20', 'CARES ESSER I 20', '% Tested Math G8 Diff', '% Reduced-price Lunch Diff', '% Black Diff', '% Asian Diff', 'Median Age 10', 'CRRSA ESSER II 21', 'ARP ESSER III 21', '% Prek Diff', '% On Campus 09/28/20', '% Hispanic Diff', '% Grades 9-12 Diff', '% Grades 1-8 Diff', '% ADA Diff', 'Unemployed Level Diff', 'Median Age Male 10', 'Median Age Female 10', 'Locale_42-Rural: Distant', 'ESSER-SUPP 22', 'Avg Household Size 10', 'Avg Family Size 10', '% White Diff', '% Tested Math G7 Diff', '% Tested Math G6 Diff', '% Tested Math G5 Diff', '% Tested Math G3 Diff', '% On Campus 01/29/21', '% Kinder Diff', '% HH Married-noChild 10', '% County Infected 09/28/20', '# of Households 10', 'Total Students Diff', 'Total Schools Diff', 'Teachers:Students Diff', 'Staff:Students Diff', 'Locale_12-City: Mid-size', 'Labor Force Diff', 'County Population', '% Tested Math G4 Diff', '% Housing Renter Occup 10', '% HH Female-Child 10', '% County Infected 10/30/20', '% Black Pop 10', '% Asian Pop 10', '% Age 75-84 Pop 10', '% Age 5-9 Pop 10', '% Age 25-34 Pop 10', '% Age 15-19 Pop 10', '# of Housing Units 10', '# of Families 10', 'Locale_33-Town: Remote', 'Locale_32-Town: Distant', 'Locale_23-Suburb: Small', 'Locale_22-Suburb: Mid-size', 'Locale_21-Suburb: Large', 'ESSER-SUPP 23', '% White Pop 10', '% Title 1 School-wide Diff', '% Title 1 Eligible Diff', '% Operational Schools Diff', '% Male Pop 10', '% Hispanic Pop 10', '% HH Male-Child 10', '% Free Lunch Diff', '% Female Pop 10', '% County Infected 01/29/21', '% Age 65-74 Pop 10', '% Age 35-44 Pop 10', '% Age 20-24 Pop 10', '% Age 0-4 Pop 10', 'Unemployed Rate Diff', 'Locale_41-Rural: Fringe', 'Locale_31-Town: Fringe', 'Locale_13-City: Small', 'Locale_11-City: Large', 'Employed Diff', '% HH 1 Male 10', '% HH 1 Female 10', '% County Deaths 10/30/20', '% County Deaths 09/28/20', '% Age 85-Up Pop 10', '% Age 55-64 Pop 10', '% Age 45-54 Pop 10', '% Age 10-14 Pop 10', 'Locale_43-Rural: Remote', '% Housing Vacant 10', '% Housing Owner Occup 10', '% HH Married-Child 10', '% County Deaths 01/29/21']","[[ 0]
 [ 1]
 [ 2]
 [ 3]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [15]
 [16]
 [17]
 [18]
 [19]
 [20]
 [21]
 [22]
 [23]
 [24]
 [25]
 [26]
 [27]
 [28]
 [29]
 [30]
 [31]
 [32]
 [33]
 [34]
 [35]
 [36]
 [37]
 [38]
 [39]
 [40]
 [41]
 [42]
 [43]
 [44]
 [45]
 [46]
 [47]
 [48]
 [49]
 [50]
 [51]
 [52]
 [53]
 [54]
 [55]
 [56]
 [57]
 [58]
 [59]
 [60]
 [61]
 [62]
 [63]
 [64]
 [65]
 [66]
 [67]
 [68]
 [69]
 [70]
 [71]
 [72]
 [73]
 [74]
 [75]
 [76]
 [77]
 [78]
 [79]
 [80]
 [81]
 [82]
 [83]
 [84]
 [85]
 [86]
 [87]
 [88]
 [89]]"
Lasso,85,by counts,2,,0.643979057591623,0.6387434554973822,0.3649618831781228,0.5917745180865067,"['% On Campus 10/30/20', 'CARES ESSER I 20', '% Tested Math G8 Diff', '% Reduced-price Lunch Diff', '% Black Diff', '% Asian Diff', 'Median Age 10', 'CRRSA ESSER II 21', 'ARP ESSER III 21', '% Prek Diff', '% On Campus 09/28/20', '% Hispanic Diff', '% Grades 9-12 Diff', '% Grades 1-8 Diff', '% ADA Diff', 'Unemployed Level Diff', 'Median Age Male 10', 'Median Age Female 10', 'Locale_42-Rural: Distant', 'ESSER-SUPP 22', 'Avg Household Size 10', 'Avg Family Size 10', '% White Diff', '% Tested Math G7 Diff', '% Tested Math G6 Diff', '% Tested Math G5 Diff', '% Tested Math G3 Diff', '% On Campus 01/29/21', '% Kinder Diff', '% HH Married-noChild 10', '% County Infected 09/28/20', '# of Households 10', 'Total Students Diff', 'Total Schools Diff', 'Teachers:Students Diff', 'Staff:Students Diff', 'Locale_12-City: Mid-size', 'Labor Force Diff', 'County Population', '% Tested Math G4 Diff', '% Housing Renter Occup 10', '% HH Female-Child 10', '% County Infected 10/30/20', '% Black Pop 10', '% Asian Pop 10', '% Age 75-84 Pop 10', '% Age 5-9 Pop 10', '% Age 25-34 Pop 10', '% Age 15-19 Pop 10', '# of Housing Units 10', '# of Families 10', 'Locale_33-Town: Remote', 'Locale_32-Town: Distant', 'Locale_23-Suburb: Small', 'Locale_22-Suburb: Mid-size', 'Locale_21-Suburb: Large', 'ESSER-SUPP 23', '% White Pop 10', '% Title 1 School-wide Diff', '% Title 1 Eligible Diff', '% Operational Schools Diff', '% Male Pop 10', '% Hispanic Pop 10', '% HH Male-Child 10', '% Free Lunch Diff', '% Female Pop 10', '% County Infected 01/29/21', '% Age 65-74 Pop 10', '% Age 35-44 Pop 10', '% Age 20-24 Pop 10', '% Age 0-4 Pop 10', 'Unemployed Rate Diff', 'Locale_41-Rural: Fringe', 'Locale_31-Town: Fringe', 'Locale_13-City: Small', 'Locale_11-City: Large', 'Employed Diff', '% HH 1 Male 10', '% HH 1 Female 10', '% County Deaths 10/30/20', '% County Deaths 09/28/20', '% Age 85-Up Pop 10', '% Age 55-64 Pop 10', '% Age 45-54 Pop 10', '% Age 10-14 Pop 10']","[[ 0]
 [ 1]
 [ 2]
 [ 3]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [15]
 [16]
 [17]
 [18]
 [19]
 [20]
 [21]
 [22]
 [24]
 [25]
 [26]
 [27]
 [28]
 [29]
 [30]
 [31]
 [32]
 [33]
 [34]
 [35]
 [36]
 [37]
 [38]
 [39]
 [40]
 [41]
 [42]
 [43]
 [44]
 [45]
 [46]
 [48]
 [49]
 [50]
 [53]
 [54]
 [55]
 [56]
 [57]
 [58]
 [59]
 [60]
 [61]
 [62]
 [63]
 [64]
 [65]
 [66]
 [67]
 [68]
 [69]
 [70]
 [71]
 [72]
 [73]
 [74]
 [75]
 [76]
 [77]
 [78]
 [79]
 [80]
 [81]
 [82]
 [83]
 [84]
 [85]
 [86]
 [87]
 [88]]"
Lasso,71,by counts,3,,0.6400523560209425,0.6335078534031413,0.35340482560990416,0.5863750206515246,"['% On Campus 10/30/20', 'CARES ESSER I 20', '% Tested Math G8 Diff', '% Reduced-price Lunch Diff', '% Black Diff', '% Asian Diff', 'Median Age 10', 'CRRSA ESSER II 21', 'ARP ESSER III 21', '% Prek Diff', '% On Campus 09/28/20', '% Hispanic Diff', '% Grades 9-12 Diff', '% Grades 1-8 Diff', '% ADA Diff', 'Unemployed Level Diff', 'Median Age Male 10', 'Median Age Female 10', 'Locale_42-Rural: Distant', 'ESSER-SUPP 22', 'Avg Household Size 10', 'Avg Family Size 10', '% White Diff', '% Tested Math G7 Diff', '% Tested Math G6 Diff', '% Tested Math G5 Diff', '% Tested Math G3 Diff', '% On Campus 01/29/21', '% Kinder Diff', '% HH Married-noChild 10', '% County Infected 09/28/20', '# of Households 10', 'Total Students Diff', 'Total Schools Diff', 'Teachers:Students Diff', 'Staff:Students Diff', 'Locale_12-City: Mid-size', 'Labor Force Diff', 'County Population', '% Tested Math G4 Diff', '% Housing Renter Occup 10', '% HH Female-Child 10', '% County Infected 10/30/20', '% Black Pop 10', '% Asian Pop 10', '% Age 75-84 Pop 10', '% Age 5-9 Pop 10', '% Age 25-34 Pop 10', '% Age 15-19 Pop 10', '# of Housing Units 10', '# of Families 10', 'Locale_33-Town: Remote', 'Locale_32-Town: Distant', 'Locale_23-Suburb: Small', 'Locale_22-Suburb: Mid-size', 'Locale_21-Suburb: Large', 'ESSER-SUPP 23', '% White Pop 10', '% Title 1 School-wide Diff', '% Title 1 Eligible Diff', '% Operational Schools Diff', '% Male Pop 10', '% Hispanic Pop 10', '% HH Male-Child 10', '% Free Lunch Diff', '% Female Pop 10', '% County Infected 01/29/21', '% Age 65-74 Pop 10', '% Age 35-44 Pop 10', '% Age 20-24 Pop 10', '% Age 0-4 Pop 10']","[[ 0]
 [ 2]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [15]
 [16]
 [17]
 [18]
 [20]
 [22]
 [24]
 [25]
 [26]
 [27]
 [28]
 [29]
 [30]
 [31]
 [32]
 [33]
 [34]
 [36]
 [37]
 [38]
 [39]
 [42]
 [43]
 [48]
 [49]
 [50]
 [53]
 [54]
 [55]
 [56]
 [57]
 [58]
 [59]
 [60]
 [61]
 [62]
 [63]
 [64]
 [65]
 [66]
 [67]
 [68]
 [69]
 [70]
 [71]
 [72]
 [73]
 [74]
 [75]
 [76]
 [77]
 [79]
 [81]
 [82]
 [83]
 [85]
 [86]
 [88]]"
Lasso,51,by counts,4,,0.6465968586387435,0.6230366492146597,0.33389035564024305,0.5623299175131636,"['% On Campus 10/30/20', 'CARES ESSER I 20', '% Tested Math G8 Diff', '% Reduced-price Lunch Diff', '% Black Diff', '% Asian Diff', 'Median Age 10', 'CRRSA ESSER II 21', 'ARP ESSER III 21', '% Prek Diff', '% On Campus 09/28/20', '% Hispanic Diff', '% Grades 9-12 Diff', '% Grades 1-8 Diff', '% ADA Diff', 'Unemployed Level Diff', 'Median Age Male 10', 'Median Age Female 10', 'Locale_42-Rural: Distant', 'ESSER-SUPP 22', 'Avg Household Size 10', 'Avg Family Size 10', '% White Diff', '% Tested Math G7 Diff', '% Tested Math G6 Diff', '% Tested Math G5 Diff', '% Tested Math G3 Diff', '% On Campus 01/29/21', '% Kinder Diff', '% HH Married-noChild 10', '% County Infected 09/28/20', '# of Households 10', 'Total Students Diff', 'Total Schools Diff', 'Teachers:Students Diff', 'Staff:Students Diff', 'Locale_12-City: Mid-size', 'Labor Force Diff', 'County Population', '% Tested Math G4 Diff', '% Housing Renter Occup 10', '% HH Female-Child 10', '% County Infected 10/30/20', '% Black Pop 10', '% Asian Pop 10', '% Age 75-84 Pop 10', '% Age 5-9 Pop 10', '% Age 25-34 Pop 10', '% Age 15-19 Pop 10', '# of Housing Units 10', '# of Families 10']","[[ 0]
 [ 2]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [15]
 [16]
 [18]
 [20]
 [24]
 [25]
 [26]
 [28]
 [29]
 [34]
 [36]
 [38]
 [43]
 [48]
 [50]
 [53]
 [54]
 [55]
 [59]
 [60]
 [62]
 [63]
 [64]
 [65]
 [66]
 [67]
 [68]
 [69]
 [70]
 [71]
 [72]
 [73]
 [74]
 [75]
 [76]
 [77]
 [79]
 [88]]"
Lasso,32,by counts,5,,0.6282722513089005,0.6073298429319371,0.2990058913311117,0.5234595740093122,"['% On Campus 10/30/20', 'CARES ESSER I 20', '% Tested Math G8 Diff', '% Reduced-price Lunch Diff', '% Black Diff', '% Asian Diff', 'Median Age 10', 'CRRSA ESSER II 21', 'ARP ESSER III 21', '% Prek Diff', '% On Campus 09/28/20', '% Hispanic Diff', '% Grades 9-12 Diff', '% Grades 1-8 Diff', '% ADA Diff', 'Unemployed Level Diff', 'Median Age Male 10', 'Median Age Female 10', 'Locale_42-Rural: Distant', 'ESSER-SUPP 22', 'Avg Household Size 10', 'Avg Family Size 10', '% White Diff', '% Tested Math G7 Diff', '% Tested Math G6 Diff', '% Tested Math G5 Diff', '% Tested Math G3 Diff', '% On Campus 01/29/21', '% Kinder Diff', '% HH Married-noChild 10', '% County Infected 09/28/20', '# of Households 10']","[[ 2]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [10]
 [13]
 [14]
 [15]
 [16]
 [18]
 [24]
 [25]
 [26]
 [48]
 [62]
 [63]
 [64]
 [65]
 [66]
 [67]
 [68]
 [69]
 [70]
 [71]
 [72]
 [74]
 [75]
 [76]
 [77]
 [88]]"
Lasso,15,by counts,6,,0.6308900523560209,0.6073298429319371,0.3003226805255452,0.5171984368732785,"['% On Campus 10/30/20', 'CARES ESSER I 20', '% Tested Math G8 Diff', '% Reduced-price Lunch Diff', '% Black Diff', '% Asian Diff', 'Median Age 10', 'CRRSA ESSER II 21', 'ARP ESSER III 21', '% Prek Diff', '% On Campus 09/28/20', '% Hispanic Diff', '% Grades 9-12 Diff', '% Grades 1-8 Diff', '% ADA Diff']","[[ 4]
 [13]
 [14]
 [15]
 [24]
 [25]
 [62]
 [63]
 [64]
 [65]
 [67]
 [68]
 [69]
 [71]
 [77]]"
Lasso,6,by counts,7,,0.6295811518324608,0.612565445026178,0.31144211017505036,0.520455420186769,"['% On Campus 10/30/20', 'CARES ESSER I 20', '% Tested Math G8 Diff', '% Reduced-price Lunch Diff', '% Black Diff', '% Asian Diff']","[[13]
 [25]
 [62]
 [63]
 [65]
 [77]]"
Lasso,1,by counts,8,,0.6256544502617801,0.612565445026178,0.31144211017505036,0.520455420186769,['% On Campus 10/30/20'],[[25]]
Lasso,55,by methods,n/a,Regularization - Lasso,0.6465968586387435,0.6335078534031413,0.3543739460140802,0.5825977904796383,"['% On Campus 10/30/20', 'CARES ESSER I 20', '% Tested Math G8 Diff', '% Reduced-price Lunch Diff', '% Black Diff', '% Asian Diff', 'Median Age 10', '% Prek Diff', '% On Campus 09/28/20', '% Hispanic Diff', '% Grades 9-12 Diff', '% Grades 1-8 Diff', '% ADA Diff', 'Unemployed Level Diff', 'Median Age Male 10', 'Median Age Female 10', 'Locale_42-Rural: Distant', 'ESSER-SUPP 22', 'Avg Family Size 10', '% Tested Math G7 Diff', '% Tested Math G6 Diff', '% Tested Math G5 Diff', '% Tested Math G3 Diff', '% On Campus 01/29/21', '% County Infected 09/28/20', 'Total Schools Diff', 'Teachers:Students Diff', 'Staff:Students Diff', 'Locale_12-City: Mid-size', 'Labor Force Diff', '% Tested Math G4 Diff', '% HH Female-Child 10', '% County Infected 10/30/20', '% Black Pop 10', '% Asian Pop 10', '% Age 15-19 Pop 10', 'Locale_33-Town: Remote', 'Locale_23-Suburb: Small', 'Locale_22-Suburb: Mid-size', 'Locale_21-Suburb: Large', '% Title 1 School-wide Diff', '% Title 1 Eligible Diff', '% Operational Schools Diff', '% Male Pop 10', '% HH Male-Child 10', '% Female Pop 10', '% County Infected 01/29/21', '% Age 35-44 Pop 10', '% Age 20-24 Pop 10', 'Locale_41-Rural: Fringe', 'Locale_13-City: Small', 'Locale_11-City: Large', 'Employed Diff', '% HH 1 Male 10', 'Locale_43-Rural: Remote']","[[ 0]
 [ 1]
 [ 2]
 [ 4]
 [ 5]
 [ 6]
 [10]
 [13]
 [16]
 [18]
 [20]
 [22]
 [24]
 [25]
 [26]
 [28]
 [29]
 [31]
 [32]
 [36]
 [37]
 [39]
 [45]
 [49]
 [50]
 [54]
 [56]
 [57]
 [58]
 [59]
 [60]
 [62]
 [63]
 [64]
 [65]
 [67]
 [68]
 [69]
 [71]
 [72]
 [73]
 [74]
 [75]
 [76]
 [77]
 [78]
 [79]
 [80]
 [81]
 [82]
 [83]
 [86]
 [87]
 [88]
 [89]]"
Lasso,45,by methods,n/a,Feature Importance - Random Forest,0.6387434554973822,0.6178010471204188,0.32194746326671836,0.5416304384731871,"['% On Campus 10/30/20', 'CARES ESSER I 20', '% Tested Math G8 Diff', '% Reduced-price Lunch Diff', '% Black Diff', '% Asian Diff', 'Median Age 10', 'CRRSA ESSER II 21', 'ARP ESSER III 21', '% Prek Diff', '% On Campus 09/28/20', '% Hispanic Diff', '% Grades 9-12 Diff', '% Grades 1-8 Diff', '% ADA Diff', 'Median Age Male 10', 'Median Age Female 10', 'Avg Household Size 10', 'Avg Family Size 10', '% White Diff', '% Tested Math G7 Diff', '% Tested Math G6 Diff', '% Tested Math G5 Diff', '% Tested Math G3 Diff', '% On Campus 01/29/21', '% Kinder Diff', '% HH Married-noChild 10', '% County Infected 09/28/20', '# of Households 10', 'Total Students Diff', 'Teachers:Students Diff', 'Staff:Students Diff', 'Labor Force Diff', 'County Population', '% Tested Math G4 Diff', '% County Infected 10/30/20', '% Black Pop 10', '# of Housing Units 10', '# of Families 10', '% White Pop 10', '% Hispanic Pop 10', '% Free Lunch Diff', '% County Infected 01/29/21', '% Age 65-74 Pop 10', '% Age 0-4 Pop 10']","[[ 0]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [15]
 [18]
 [20]
 [22]
 [24]
 [25]
 [26]
 [27]
 [28]
 [30]
 [33]
 [42]
 [48]
 [55]
 [59]
 [60]
 [61]
 [62]
 [63]
 [64]
 [65]
 [66]
 [67]
 [68]
 [69]
 [70]
 [71]
 [72]
 [73]
 [74]
 [75]
 [76]
 [77]]"
