feature,method,model,score,score_type,selected,Method
Labor Force Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Employed Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Unemployed Level Diff,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Unemployed Rate Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Median Age 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Median Age Male 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Median Age Female 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
# of Households 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Avg Household Size 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
# of Families 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Avg Family Size 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
# of Housing Units 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
County Population,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
CARES ESSER I 20,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
CRRSA ESSER II 21,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
ARP ESSER III 21,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
ESSER-SUPP 22,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
ESSER-SUPP 23,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
% County Infected 09/28/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 09/28/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Infected 10/30/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 10/30/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Infected 01/29/21,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 01/29/21,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% On Campus 09/28/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% On Campus 10/30/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% On Campus 01/29/21,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% White Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Black Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Asian Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Hispanic Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Male Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Female Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 0-4 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 5-9 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 10-14 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 15-19 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 20-24 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 25-34 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 35-44 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 45-54 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 55-64 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 65-74 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 75-84 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 85-Up Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH 1 Male 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH 1 Female 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH Married-Child 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH Married-noChild 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH Male-Child 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH Female-Child 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Housing Vacant 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Housing Owner Occup 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Housing Renter Occup 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
